model,stat,est,lo,hi,unique
naive,AvgM,0.38,0.22,0.53,naive_AvgM
naive,AvgR,0.35,0.28,0.53,naive_AvgR
naive,AvgDiff,0.03,-0.14,0.19,naive_AvgDiff
naive,Perc0M,89,89,96,naive_Perc0M
naive,Perc0R,100,96,100,naive_Perc0R
naive,Perc0Diff,-11,-12,-4,naive_Perc0Diff
naive,Perc0.2M,68,61,80,naive_Perc0.2M
naive,Perc0.2R,90,77,100,naive_Perc0.2R
naive,Perc0.2Diff,-22,-33,-2,naive_Perc0.2Diff
mod,AvgM,0.38,0.16,0.59,mod_AvgM
mod,AvgR,0.36,0.21,0.59,mod_AvgR
mod,AvgDiff,0.02,-0.2,0.23,mod_AvgDiff
mod,Perc0M,95,94,99,mod_Perc0M
mod,Perc0R,100,,,mod_Perc0R
mod,Perc0Diff,-5,-6,-1,mod_Perc0Diff
mod,Perc0.2M,87,80,95,mod_Perc0.2M
mod,Perc0.2R,0,,,mod_Perc0.2R
mod,Perc0.2Diff,87,83,94,mod_Perc0.2Diff
modelDiff,AvgM,0,,,modelDiff_AvgM
modelDiff,AvgR,-0.01,-0.05,0.05,modelDiff_AvgR
modelDiff,AvgDiff,0.01,-0.01,0.08,modelDiff_AvgDiff
modelDiff,Perc0M,-6,-6,-1,modelDiff_Perc0M
modelDiff,Perc0R,0,-4,0,modelDiff_Perc0R
modelDiff,Perc0Diff,-6,-7,-1,modelDiff_Perc0Diff
modelDiff,Perc0.2M,-19,-30,-6,modelDiff_Perc0.2M
modelDiff,Perc0.2R,90,85,100,modelDiff_Perc0.2R
modelDiff,Perc0.2Diff,-109,-131,-26,modelDiff_Perc0.2Diff
