name,value,section
m ests MA,51,1
m ests MB,102,1
m ests total,153,1
k studies MA,16,1
k studies MB,62,1
median n MA,20,1
median n MB,16,1
min n MA,10,1
min n MB,10,1
max n MA,77,1
max n MB,46,1
MA subset naive tau,0.51,2
MA subset naive k,51,2
MA subset naive n subj,1062,2
MA subset naive est X.Intercept.,0.67,2
MA subset naive lo X.Intercept.,0.38,2
MA subset naive hi X.Intercept.,0.95,2
MA subset naive pval X.Intercept.,0.00033226,2
Reps subset naive tau,0.11,2
Reps subset naive k,102,2
Reps subset naive n subj,2004,2
Reps subset naive est X.Intercept.,0.34,2
Reps subset naive lo X.Intercept.,0.27,2
Reps subset naive hi X.Intercept.,0.42,2
Reps subset naive pval X.Intercept.,< 0.0001,2
NAIVE tau,0.32,2
NAIVE k,153,2
NAIVE n subj,3066,2
NAIVE est X.Intercept.,0.34,2
NAIVE est isMetaTRUE,0.29,2
NAIVE lo X.Intercept.,0.27,2
NAIVE lo isMetaTRUE,0.03,2
NAIVE hi X.Intercept.,0.42,2
NAIVE hi isMetaTRUE,0.56,2
NAIVE pval X.Intercept.,< 0.0001,2
NAIVE pval isMetaTRUE,0.032091,2
NAIVE avg for meta,0.64,2
NAIVE avg lo for meta,0.37,2
NAIVE avg hi for meta,0.91,2
NAIVE avg pval for meta,3e-04,2
MOD1 tau,0.29,1
MOD1 k,153,1
MOD1 n subj,3066,1
MOD1 est X.Intercept.,0.14,1
MOD1 est isMetaTRUE,0.45,1
MOD1 est mean_agec_mos,0.05,1
MOD1 est test_langb.nonnative,-0.1,1
MOD1 est test_langc.artificial,-0.46,1
MOD1 est methodb.hpp,0.11,1
MOD1 est methodc.other,0.6,1
MOD1 est speech_typeb.naturalistic,0.11,1
MOD1 est speech_typec.filtered.synthesized,-0.19,1
MOD1 est own_motherb.yes,-0.76,1
MOD1 est presentationb.video.recording,0.03,1
MOD1 est dependent_measureb.affect,0.17,1
MOD1 est main_question_ids_preferenceb.no,-0.22,1
MOD1 lo X.Intercept.,-0.07,1
MOD1 lo isMetaTRUE,0.02,1
MOD1 lo mean_agec_mos,0.02,1
MOD1 lo test_langb.nonnative,-0.21,1
MOD1 lo test_langc.artificial,-2.4,1
MOD1 lo methodb.hpp,-0.22,1
MOD1 lo methodc.other,-1.19,1
MOD1 lo speech_typeb.naturalistic,-0.8,1
MOD1 lo speech_typec.filtered.synthesized,-0.64,1
MOD1 lo own_motherb.yes,-1.97,1
MOD1 lo presentationb.video.recording,-0.97,1
MOD1 lo dependent_measureb.affect,-0.6,1
MOD1 lo main_question_ids_preferenceb.no,-1.05,1
MOD1 hi X.Intercept.,0.34,1
MOD1 hi isMetaTRUE,0.88,1
MOD1 hi mean_agec_mos,0.07,1
MOD1 hi test_langb.nonnative,0.01,1
MOD1 hi test_langc.artificial,1.48,1
MOD1 hi methodb.hpp,0.43,1
MOD1 hi methodc.other,2.38,1
MOD1 hi speech_typeb.naturalistic,1.03,1
MOD1 hi speech_typec.filtered.synthesized,0.26,1
