model,stat,est,lo,hi,unique
naive,AvgM,0.64,0.37,0.91,naive_AvgM
naive,AvgR,0.35,0.28,0.91,naive_AvgR
naive,AvgDiff,0.28,0.02,0.55,naive_AvgDiff
naive,Perc0M,90,86,98,naive_Perc0M
naive,Perc0R,100,96,100,naive_Perc0R
naive,Perc0Diff,-10,-15,-2,naive_Perc0Diff
naive,Perc0.2M,86,80,93,naive_Perc0.2M
naive,Perc0.2R,90,78,100,naive_Perc0.2R
naive,Perc0.2Diff,-4,-18,12,naive_Perc0.2Diff
mod,AvgM,0.58,0.29,0.88,mod_AvgM
mod,AvgR,0.13,-0.07,0.88,mod_AvgR
mod,AvgDiff,0.45,0.02,0.88,mod_AvgDiff
mod,Perc0M,98,89,100,mod_Perc0M
mod,Perc0R,100,,,mod_Perc0R
mod,Perc0Diff,-2,-11,0,mod_Perc0Diff
mod,Perc0.2M,84,76,85,mod_Perc0.2M
mod,Perc0.2R,0,,,mod_Perc0.2R
mod,Perc0.2Diff,84,-16,86,mod_Perc0.2Diff
modelDiff,AvgM,0.05,0.04,0.09,modelDiff_AvgM
modelDiff,AvgR,0.22,0.17,0.36,modelDiff_AvgR
modelDiff,AvgDiff,-0.16,-0.26,-0.1,modelDiff_AvgDiff
modelDiff,Perc0M,-8,-14,0,modelDiff_Perc0M
modelDiff,Perc0R,0,-4,0,modelDiff_Perc0R
modelDiff,Perc0Diff,-8,-14,1,modelDiff_Perc0Diff
modelDiff,Perc0.2M,2,1,7,modelDiff_Perc0.2M
modelDiff,Perc0.2R,90,72,100,modelDiff_Perc0.2R
modelDiff,Perc0.2Diff,-88,-99,12,modelDiff_Perc0.2Diff
