study_ID,long_cite,short_cite,doi,peer_reviewed,original_ma,coder,expt_num,expt_condition,response_mode,exposure_phase,method,dependent_measure,between_participant,participant_design,same_infant,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,d,d_var,r,corr,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,mean_vocab,method_secondary,stim_language,contrast,type,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,trial_control,test_lang,main_question_IDS_preference,My comments
Cooper1990,"Cooper, R. P. & Aslin, N. R. (1990). Preference for Infant-directed Speech in the First Month after Birth. Child Development. 61(5), 1584-1595. DOI:10.1111/j.1467-8624.1990.tb02885.x",Cooper & Aslin (1990),10.1111/j.1467-8624.1990.tb02885.x,yes,yes,Alex Cristia,1,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1990_1,American English,typical,NA,NA,12,NA,34,NA,NA,NA,NA,NA,NA,NA,0.72,0.177466667,,NA,NA,NA,NA,NA,0.583333333,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Cooper1990,"Cooper, R. P. & Aslin, N. R. (1990). Preference for Infant-directed Speech in the First Month after Birth. Child Development. 61(5), 1584-1595. DOI:10.1111/j.1467-8624.1990.tb02885.x",Cooper & Aslin (1990),10.1111/j.1467-8624.1990.tb02885.x,yes,yes,Alex Cristia,2,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1990_2,American English,typical,NA,NA,16,NA,2,NA,NA,NA,NA,NA,NA,NA,0.72,0.1331,,NA,NA,NA,NA,NA,0.4375,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Hospital room,Simulated,infant_controlled,native,yes,
Cooper1994,"Cooper, R. P. & Aslin, N. R. (1990). Developmental Differences in Infant Attention to the Spectral Properties of Infant-directed Speech. Child Development. 65(6), 1663-1677. DOI:10.1111/j.1467-8624.1994.tb00841.x",Cooper & Aslin (1994),10.1111/j.1467-8624.1994.tb00841.x,yes,yes,Alex Cristia,1,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1994_1,American English,typical,NA,NA,12,NA,35,NA,NA,NA,NA,NA,NA,NA,-0.04,0.1667,,NA,NA,NA,NA,NA,0.666666667,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS,English,component,Low-pass filtered infant directed and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Filtered,infant_controlled,native,yes,
Cooper1994,"Cooper, R. P. & Aslin, N. R. (1990). Developmental Differences in Infant Attention to the Spectral Properties of Infant-directed Speech. Child Development. 65(6), 1663-1677. DOI:10.1111/j.1467-8624.1994.tb00841.x",Cooper & Aslin (1994),10.1111/j.1467-8624.1994.tb00841.x,yes,yes,Alex Cristia,2,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1994_2,American English,typical,NA,NA,20,NA,35,NA,NA,NA,NA,NA,NA,NA,0.27,0.10091125,,NA,NA,NA,NA,NA,0.55,NA,NA,NA,Amount of time looking at checkerboard during the first 3 trials while listening to either IDS or ADS,English,component,Low-pass filtered infant directed and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Filtered,infant_controlled,native,no,
Cooper1994,"Cooper, R. P. & Aslin, N. R. (1990). Developmental Differences in Infant Attention to the Spectral Properties of Infant-directed Speech. Child Development. 65(6), 1663-1677. DOI:10.1111/j.1467-8624.1994.tb00841.x",Cooper & Aslin (1994),10.1111/j.1467-8624.1994.tb00841.x,yes,yes,Alex Cristia,3,IDS_first,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1994_3,American English,typical,NA,NA,20,NA,35,NA,NA,NA,NA,NA,NA,NA,1.24,0.11922,,NA,NA,NA,NA,NA,0.4,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS with IDS heard first ,English,component,Infant directed sine-wave and adult directed sine-wave,0,0,1,Unfamiliar female,Tape recording,Laboratory,Filtered,infant_controlled,native,yes,"why are there two ES associated with this study -- and they don't even go in the same direction? I suspect the table is wrong, and there's an order effect"
Cooper1994,"Cooper, R. P. & Aslin, N. R. (1990). Developmental Differences in Infant Attention to the Spectral Properties of Infant-directed Speech. Child Development. 65(6), 1663-1677. DOI:10.1111/j.1467-8624.1994.tb00841.x",Cooper & Aslin (1994),10.1111/j.1467-8624.1994.tb00841.x,yes,yes,Alex Cristia,3,ADS_first,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1994_3,American English,typical,NA,NA,20,NA,35,NA,NA,NA,NA,NA,NA,NA,-0.28,0.10098,,NA,NA,NA,NA,NA,0.4,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS with IDS heard first ,English,component,Infant directed sine-wave and adult directed sine-wave,0,0,1,Unfamiliar female,Tape recording,Laboratory,Filtered,infant_controlled,native,yes,"why are there two ES associated with this study -- and they don't even go in the same direction? I suspect the table is wrong, and there's an order effect"
Cooper1997,"Cooper, R. P.; Abraham, J.; Berman, S. & Staska, M. (1997). The development of infants’ preference for Motherese. Infant Behavior and Development 20. 476–88.",Cooper et al. (1997),10.1016/S0163-6383(97)90037-0,yes,yes,Alex Cristia,1,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1997_1,American English,typical,NA,NA,20,NA,39,NA,NA,NA,NA,NA,NA,NA,-0.36,0.10162,,NA,NA,NA,NA,NA,0.4,NA,NA,NA,Amount of time looking at checkerboard while listening to either Infant Directed Speech (IDS) or Adult Directed Speech (ADS),English,main,Infant directed and adult directed speech,1,1,1,Child’s mother,Tape recording,Laboratory,Naturalistic,infant_controlled,native,yes,
Cooper1997,"Cooper, R. P.; Abraham, J.; Berman, S. & Staska, M. (1997). The development of infants’ preference for Motherese. Infant Behavior and Development 20. 476–88.",Cooper et al. (1997),10.1016/S0163-6383(97)90037-0,yes,yes,Alex Cristia,2,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1997_2,American English,typical,NA,NA,20,NA,43,NA,NA,NA,NA,NA,NA,NA,0.45,0.10253125,,NA,NA,NA,NA,NA,0.2,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS,English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,infant_controlled,native,yes,
Cooper1997,"Cooper, R. P.; Abraham, J.; Berman, S. & Staska, M. (1997). The development of infants’ preference for Motherese. Infant Behavior and Development 20. 476–88.",Cooper et al. (1997),10.1016/S0163-6383(97)90037-0,yes,yes,Alex Cristia,3,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1997_3,American English,typical,NA,NA,23,NA,126,NA,NA,NA,NA,NA,NA,NA,0.34,0.088213043,,NA,NA,NA,NA,NA,0.47826087,NA,NA,NA,Amount of time looking at colored concentric circles while listening to either IDS or ADS ,English,main,Infant directed and adult directed speech,1,1,1,Child’s mother,Tape recording,Laboratory,Naturalistic,infant_controlled,native,yes,
Droucker2013,"Droucker, D., Curtin, S. & Vouloumanos, A. (2013). Linking Infant-Directed Speech and Face Preferences to Language Outcomes in Infants at Risk for Autism Spectrum Disorder. Journal of Speech, Language and Hearing Research. 56, 567-576.",Droucker et al. (2013),,yes,no,Alvaro Iturralde,1,sampleA_8mos,eye-tracking,familiarization,CF,looking_time,0,within_two,Droucker2013_1_sampleA,Canadian English,typical,NA,NA,22,NA,244,NA,19.66,17.97,4.88,6.69,2.04,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amount of time looking to a face or a checkboraddisplay while listening to ADS or IDS,English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,fixed_length,native,yes,
