study_ID,long_cite,short_cite,doi,peer_reviewed,original_ma,coder,expt_num,expt_condition,response_mode,exposure_phase,method,dependent_measure,between_participant,participant_design,same_infant,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,d,d_var,r,corr,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,mean_vocab,method_secondary,stim_language,contrast,type,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,test_lang,trial_control,main_question_IDS_preference,My comments
Cooper1990,"Cooper, R. P. & Aslin, N. R. (1990). Preference for Infant-directed Speech in the First Month after Birth. Child Development. 61(5), 1584-1595. DOI:10.1111/j.1467-8624.1990.tb02885.x",Cooper & Aslin (1990),10.1111/j.1467-8624.1990.tb02885.x,yes,yes,Alex Cristia,1,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1990_1,American English,typical,NA,NA,12,NA,34,NA,NA,NA,NA,NA,NA,NA,0.72,0.1774666667,,NA,NA,NA,NA,NA,0.583333333,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,native,infant_controlled,yes,
Cooper1990,"Cooper, R. P. & Aslin, N. R. (1990). Preference for Infant-directed Speech in the First Month after Birth. Child Development. 61(5), 1584-1595. DOI:10.1111/j.1467-8624.1990.tb02885.x",Cooper & Aslin (1990),10.1111/j.1467-8624.1990.tb02885.x,yes,yes,Alex Cristia,2,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1990_2,American English,typical,NA,NA,16,NA,2,NA,NA,NA,NA,NA,NA,NA,0.72,0.1331,,NA,NA,NA,NA,NA,0.4375,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Hospital room,Simulated,native,infant_controlled,yes,
Cooper1994,"Cooper, R. P. & Aslin, N. R. (1990). Developmental Differences in Infant Attention to the Spectral Properties of Infant-directed Speech. Child Development. 65(6), 1663-1677. DOI:10.1111/j.1467-8624.1994.tb00841.x",Cooper & Aslin (1994),10.1111/j.1467-8624.1994.tb00841.x,yes,yes,Alex Cristia,1,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1994_1,American English,typical,NA,NA,12,NA,35,NA,NA,NA,NA,NA,NA,NA,-0.04,0.1667,,NA,NA,NA,NA,NA,0.666666667,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS,English,component,Low-pass filtered infant directed and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Filtered,native,infant_controlled,yes,
Cooper1994,"Cooper, R. P. & Aslin, N. R. (1990). Developmental Differences in Infant Attention to the Spectral Properties of Infant-directed Speech. Child Development. 65(6), 1663-1677. DOI:10.1111/j.1467-8624.1994.tb00841.x",Cooper & Aslin (1994),10.1111/j.1467-8624.1994.tb00841.x,yes,yes,Alex Cristia,2,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1994_2,American English,typical,NA,NA,20,NA,35,NA,NA,NA,NA,NA,NA,NA,0.27,0.10091125,,NA,NA,NA,NA,NA,0.55,NA,NA,NA,Amount of time looking at checkerboard during the first 3 trials while listening to either IDS or ADS,English,component,Low-pass filtered infant directed and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Filtered,native,infant_controlled,no,
Cooper1994,"Cooper, R. P. & Aslin, N. R. (1990). Developmental Differences in Infant Attention to the Spectral Properties of Infant-directed Speech. Child Development. 65(6), 1663-1677. DOI:10.1111/j.1467-8624.1994.tb00841.x",Cooper & Aslin (1994),10.1111/j.1467-8624.1994.tb00841.x,yes,yes,Alex Cristia,3,IDS_first,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1994_3,American English,typical,NA,NA,20,NA,35,NA,NA,NA,NA,NA,NA,NA,1.24,0.11922,,NA,NA,NA,NA,NA,0.4,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS with IDS heard first ,English,component,Infant directed sine-wave and adult directed sine-wave,0,0,1,Unfamiliar female,Tape recording,Laboratory,Filtered,native,infant_controlled,yes,"why are there two ES associated with this study -- and they don't even go in the same direction? I suspect the table is wrong, and there's an order effect"
Cooper1994,"Cooper, R. P. & Aslin, N. R. (1990). Developmental Differences in Infant Attention to the Spectral Properties of Infant-directed Speech. Child Development. 65(6), 1663-1677. DOI:10.1111/j.1467-8624.1994.tb00841.x",Cooper & Aslin (1994),10.1111/j.1467-8624.1994.tb00841.x,yes,yes,Alex Cristia,3,ADS_first,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1994_3,American English,typical,NA,NA,20,NA,35,NA,NA,NA,NA,NA,NA,NA,-0.28,0.10098,,NA,NA,NA,NA,NA,0.4,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS with IDS heard first ,English,component,Infant directed sine-wave and adult directed sine-wave,0,0,1,Unfamiliar female,Tape recording,Laboratory,Filtered,native,infant_controlled,yes,"why are there two ES associated with this study -- and they don't even go in the same direction? I suspect the table is wrong, and there's an order effect"
Cooper1997,"Cooper, R. P.; Abraham, J.; Berman, S. & Staska, M. (1997). The development of infants’ preference for Motherese. Infant Behavior and Development 20. 476–88.",Cooper et al. (1997),10.1016/S0163-6383(97)90037-0,yes,yes,Alex Cristia,1,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1997_1,American English,typical,NA,NA,20,NA,39,NA,NA,NA,NA,NA,NA,NA,-0.36,0.10162,,NA,NA,NA,NA,NA,0.4,NA,NA,NA,Amount of time looking at checkerboard while listening to either Infant Directed Speech (IDS) or Adult Directed Speech (ADS),English,main,Infant directed and adult directed speech,1,1,1,Child’s mother,Tape recording,Laboratory,Naturalistic,native,infant_controlled,yes,
Cooper1997,"Cooper, R. P.; Abraham, J.; Berman, S. & Staska, M. (1997). The development of infants’ preference for Motherese. Infant Behavior and Development 20. 476–88.",Cooper et al. (1997),10.1016/S0163-6383(97)90037-0,yes,yes,Alex Cristia,2,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1997_2,American English,typical,NA,NA,20,NA,43,NA,NA,NA,NA,NA,NA,NA,0.45,0.10253125,,NA,NA,NA,NA,NA,0.2,NA,NA,NA,Amount of time looking at checkerboard while listening to either IDS or ADS,English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,native,infant_controlled,yes,
Cooper1997,"Cooper, R. P.; Abraham, J.; Berman, S. & Staska, M. (1997). The development of infants’ preference for Motherese. Infant Behavior and Development 20. 476–88.",Cooper et al. (1997),10.1016/S0163-6383(97)90037-0,yes,yes,Alex Cristia,3,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Cooper1997_3,American English,typical,NA,NA,23,NA,126,NA,NA,NA,NA,NA,NA,NA,0.34,0.08821304348,,NA,NA,NA,NA,NA,0.47826087,NA,NA,NA,Amount of time looking at colored concentric circles while listening to either IDS or ADS ,English,main,Infant directed and adult directed speech,1,1,1,Child’s mother,Tape recording,Laboratory,Naturalistic,native,infant_controlled,yes,
Fernald1985,"Fernald A. (1985). Four-month-old infants prefer to listen to motherese*. Infant Behavior and Development. 8(2), 181-195. ",Fernald (1985),doi.org/10.1016/S0163-6383(85)80005-9,yes,yes,Alex Cristia,1,NA,behavior,conditioning,CHT,target_selection,0,within_two,Fernald1985,American English,typical,NA,NA,48,NA,123,NA,NA,NA,NA,NA,NA,NA,0.65,0.0438671875,,NA,10,NA,NA,NA,0.4375,NA,NA,NA,Number of trials in which head turn was in the direction required to produce  either IDS or ADS,English,component,Infant directed and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,native,infant_controlled,yes,"I find the age ranges suspect, (why do they go up 1 day exactly with each experiment)"
