Field Name ,Description,Type,Format,Example,Required?,Notes
Paper Description,,,,,,
study_ID,uniquely identifies a study,string,"last name of first author, year, and letter if necessary. Small caps only, no space or special character (no _ or -).",smith2015a,yes,
long_cite,long citation,string,full APA-style citation,,yes,
short_cite,short citation,string,author (year) APA-style in-text citation,Smith (2015),yes,
doi,"doi of the paper, if available",,,10.1111/j.1467-8624.1990.tb02885.x,,
peer_reviewed,"indicates whether study is from a peer-reviewed publication (typically yes if it is a journal paper, no otherwise [with a few exceptions])",options,yes or no,yes,yes,
original_ma,Was the article included in the original Dunst et al. (2012) meta-analysis?,options,yes or no,yes,yes,
coder,person(s) who coded entry,string,"full names or initials, separated by commas","Molly Lewis, Michael Frank;  ML, MF",yes,
2nd coder,person(s) who double-checked/ were second coder on the entry,string,"full names or initials, separated by commas","Molly Lewis, Michael Frank;  ML, MF",no,
expt_num,experiment/study number in the source paper / report (for later identification of the corresponding effect size),numeric,"copied directly from the paper's numbering, if there are no numbers default to 1",1; 2 (if paper has Experiments 1 and 2),yes,
expt_condition,identifier of condition within same experiment number (for later identification of corresponding effect size),string," any way of uniquely referring to conditions within the same experiment (if there is just one condition, use expt_num)",nouns; verbs (if experiment has nouns and verbs as conditions),yes,
same_infant,identifier of group of infants within a study (for determining if effect sizes in multiple rows are statistically independent),string,"any way of uniquely referring to group of infants within a study, if infants were tested in more than one condition, otherwise same as expt_condition",12_month_olds,yes,
main_question_IDS_preference,whether the main hypothesis/ question tested in the study was investigating the preference for infant-directed speech (over adult-directed speech),string,yes or no,yes,yes,
Experiment description,,,,,,
trial_control,Were trials played until the end or did they stop when infants looked away (e.g. after 2 consecutive seconds),string,yes or no,,,
response_mode,way of measuring response in the experiment,options,"options:
      - behavior: non-oculomotor, choice behavior (e.g. headturn, pointing)
      - eye-tracking: oculomotor (even if human coding is used; e.g., video-coded central fixation)
      - physiology: e.g. heart rate
      - EEG: electroencephalography, mostly ERP
      - NIRS: near-infrared spectroscopy
      - other:",eye-tracking,yes,
exposure_phase,"type of pre-test exposure phase; refers specifically to exposure to the relevant stimuli (i.e. in this instance, IDS/ ADS)",options,"options:
      - conditioning
      - habituation
      - familiarization
      - test_only",habituation,yes,
method,"method used, names as commonly used in the literature",options,see separate sheet,HPP,yes,
dependent_measure,type of dependent measure used in experiment,options,see separate sheet,looking_time,yes,
human_coded,"in looking_time studies, was the duration of looking determined by a human coder or automatically by an eyetracker or similar?",string,yes or no,,,
between_participant,whether the manipulation of interest was between or within participant (redundant with participant_design and dropped in future codding iterations),options,1 (=between) or 0 (=within),1,no,not used in later coding iterations
participant_design,indicates the groups that are the comparison of interest for effect size,options,"    - between:    between two groups of participants
    - within_two: within one group of participants with two measurement points
    - within_one: within one group of participants with one measurement point ",,yes,
native_lang,"participants' native language(s), if possible coded for region",string,languages separated by commas,American English,yes,
infant_type,development characteristic of experiment participants,string," typical for monolingual, full-term infants with no hearing, language, or cognitive impairments, otherwise, main unusual characteristic, with mixed for group that combines typical and atypical characteristics",mixed,yes,
Information to compute ES,,,,,,
group_name_1,"name of participant group, can be empty if it is a within-participant design. IDS in between-subjects design",string,"if participant_design = between: maps onto group_name_1, mean_age_1, x_1, SD_1",experimental,yes,
group_name_2,"name of participant group if there are two groups in a between design, otherwise empty. ADS in between-subjects design",string,"if participant_design = between: maps onto group_name_2, mean_age_2, x_2, SD_2",control,yes,
n_1,number of participants in group_1 (if participant design = between) or of all participants for within-participant designs,numeric,"if participant_design = between: maps onto group_name_1, mean_age_1, x_1, SD_1",,yes,
n_2,"number of participants in group_1 (if participant design = between) if there are two groups in a between design, otherwise empty",numeric,"if participant_design = between: maps onto group_name_2, mean_age_2, x_2, SD_2",,yes,
mean_age_1,mean age of participants in days (1 month = 30.44 days; 1 year = 365.25 days),numeric,"if participant_design = between: maps onto group_name_1, mean_age_1, x_1, SD_1",,yes,
mean_age_2,"mean age of participants in group_2 in days (1 month = 30.44 days; 1 year = 365.25 days), if there are two groups in a between design",numeric,"if participant_design = between: maps onto group_name_2, n_2, x_2, SD_2",,yes,
x_1,"mean of dependent variable for measure 1 (participant_design = within_one, within_two) or group 1 (participant_design = between). IDS in within-subjects design",numeric,"if participant_design = between: maps onto group_name_1, mean_age_1, x_1, SD_1",IDS,yes,
x_2,"mean of dependent variable for measure 2 (participant_design = within_two) or group 2 (participant_design = between) or chance level (participant_design = within_one, if applicable). ADS in within-subjects design",numeric,"second measure if participant_design = within_two; chance level if participant_design = within_one; if participant_design = between maps onto group_name_2, n_2, mean_age_2, SD_2",ADS,yes,
SD_1,"standard deviation of dependent variable for measure 1 (participant_design = within_one, within_two) or group 1 (participant_design = between).  SD of IDS in within-subjects design",numeric,"if participant_design = between: maps onto group_name_1, mean_age_1, x_1, SD_1",,yes,
SD_2,standard deviation of dependent variable for measure 2 (participant_design = within_two) or group 2 (participant_design = between).  SD of ADS in within-subjects design,numeric,,,yes,
t,"t-statistic for the comparison of interest as specified in participant_design, ideally always note even if means and SDs are available",numeric,,,yes,
F,F-statistic for the comparison of interest as specified in participant_design (main effect comparing two measures),numeric,,,yes,
r ,Pearson's correlation coefficient,numeric,,,yes,
d,"Cohen's d effect size measure, if reported",numeric,,,yes,
d_var,"Cohen's d effect size variance, if reported",numeric,,,yes,
corr,"if participant_design = within_two: Pearson's correlation coefficient of the two dependent measures, this number is needed to calculate effect size / variance ",numeric,,,yes,
effect_significance_reported,Whether the effect is reported as significant or not by the authors,string,"options: significant, non-significant, not reported",significant,yes,
Suggestions for further fields,,,,,,
