study_ID,long_cite,short_cite,doi,peer_reviewed,original_ma,coder,2nd coder,3rd coder,expt_num,expt_condition,stimulus_set,lab,main_question_IDS_preference,trial_control,response_mode,exposure_phase,method,dependent_measure,human_coded,participant_design,same_infant,native_lang,test_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,data_from_figure,t,F,d,d_var,r,corr,effect_significance_reported,age_range_1,age_range_2,n_excluded_1,n_excluded_2,fussers,non-criterion,criterion,criterion_definition,exclusionCriteria,gender_1,gender_2,num_trials,num_minimum_trials,mean_vocab,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,Coder 1 Comments,Coder 2 Comments,Coder 3 comments
Fernald1993,"Fernald, A. (1993) Approval and Disapproval: Infant Responsiveness to Vocal Affect in Familiar and Unfamiliar Languages. Child Development, 64, 657-674.",Fernald (1993),10.1111/j.1467-8624.1993.tb02934.x,yes,no,Becky Lundwall,Martin Zettersten,Alvaro Iturralde,5,approval,Fernald (1993),,no,,eye-tracking,test_only,CF,looking_time,yes,between,5,American English,native,typical,IDS,ADS,20,20,138,138,5.05,5.61,,,no,,,,,,,,16,16,8,8,5,,,,fussiness_5|failure to orient_8|experimenter_error_3,10,10,,,NA,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,"only means available; information on age, exclusions, gender not available by group, so took the average","Previous data entered looks correct. Added missing information about the stimuli, participants and experiment e.g. simulate, unfamiliar female, tape, native AE, betwen groups, etc."
Fernald1993,"Fernald, A.(1993) Approval and Disapproval: Infant Responsiveness to Vocal Affect in Familiar and Unfamiliar Languages. Child Development, 64, 657-674.",Fernald (1993),10.1111/j.1467-8624.1993.tb02934.x,yes,no,Becky Lundwall,Martin Zettersten,Alvaro Iturralde,5,disapproval,Fernald (1993),,no,,eye-tracking,test_only,CF,looking_time,yes,between,5,American English,native,typical,IDS,ADS,20,20,138,138,5.56,5.06,,,no,,,,,,,,16,16,8,8,5,,,,fussiness_5|failure to orient_8|experimenter_error_3,10,10,,,NA,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,"only means available; information on age, exclusions, gender not available by group, so took the average",
Ward1999,"Ward, C.D. & Cooper, R.P. (1999) A lack of evidence in 4‐month‐old human infants for paternal voice preference. Developmental Psychobiology, 35, 49-59",Ward & Cooper (1999),10.1002/(SICI)1098-2302(199907)35:1<49::AID-DEV7>3.0.CO;2-3,yes,no,Becky Lundwall,Christina Bergmann/ Martin Zettersten,Alvaro Iturralde,1_2,OwnFatherVoice,Ward & Cooper (1999),Cooper,no,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,between,1_2,American English,native,typical,IDS,ADS,20,20,127.7,132.2,15.14,22.3,7.54,12.78,no,NA,NA,NA,NA,NA,NA,,21,21,9,10,NA,4,2,at least two looks less than two seconds in duration,crying_9|at least two looks less than two seconds_4|failure to look at the display_2|experiment failure_4,0.45,0.5,12,10,NA,1,1,0,Familiar father,Tape recording,Laboratory living room like setting,Naturalistic,"audio recording made in home; all infants did 2 different conditions, couterbalanced","MZ: coding crosses Experiment 1 (ADS, own vs. unfamiliar father) and Experiment 2 (IDS, own vs. unfamiliar father); direction of effect (means, sds) was prreviously incorrect and needed to be switched (looking times for Experiment 2/ IDS are generally lower); criterion column misinterpreted - should be objective criteria for exclusion (in Exp 2: at least two looks with less than 2s looking), not trial termination; age range is not available in the data (removed); for general exclusion columns, must combine across groups (previously only exclusions from group 1 were described in more detail); no infants explicitly described as fussers, thus coded this column as NA; age range is three weeks according to tables 1/ 2",Data comparisson across experiments: ADS exp 1 vs IDS exp2. There are different groups for each experiment which makes the coding a between comparisson. Most data seem correctly coded. 2 changes made: Number of exclusions and gender proportion data was inverted (e.g. ADS data was coded as exp1 and IDS data as exp2) this was fixed. 
Ward1999,"Ward, C.D. & Cooper, R.P. (1999) A lack of evidence in 4‐month‐old human infants for paternal voice preference. Developmental Psychobiology, 35, 49-59",Ward & Cooper (1999),10.1002/(SICI)1098-2302(199907)35:1<49::AID-DEV7>3.0.CO;2-3,yes,no,Becky Lundwall,Christina Bergmann/ Martin Zettersten,Alvaro Iturralde,1_2,OtherFatherVoice,Ward & Cooper (1999),Cooper,no,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,between,1_2,American English,native,typical,IDS,ADS,20,20,127.7,132.2,14.26,18.8,5.64,8.56,no,NA,NA,NA,NA,NA,NA,,21,21,9,10,NA,4,2,at least two looks less than two seconds in duration,crying_9|at least two looks less than two seconds_4|failure to look at the display_2|experiment failure_4,0.45,0.5,12,10,NA,0,1,0,Unfamiliar father,Tape recording,Laboratory living room like setting,Naturalistic,"audio recording made in home; all infants did 2 different conditions, couterbalanced","MZ: coding crosses Experiment 1 (ADS, own vs. unfamiliar father) and Experiment 2 (IDS, own vs. unfamiliar father); direction of effect (means, sds) was prreviously incorrect and needed to be switched (looking times for Experiment 2/ IDS are generally lower); criterion column misinterpreted - should be objective criteria for exclusion (in Exp 2: at least two looks with less than 2s looking), not trial termination; age range is not available in the data (removed); for general exclusion columns, must combine across groups (previously only exclusions from group 1 were described in more detail); no infants explicitly described as fussers, thus coded this column as NA; age range is three weeks according to tables 1/ 2; Experiment is human_coded",Data comparisson across experiments: ADS exp 1 vs IDS exp2. There are different groups for each experiment which makes the coding a between comparisson. Most data seem correctly coded. 2 changes made: Number of exclusions and gender proportion data was inverted (e.g. ADS data was coded as exp1 and IDS data as exp2) this was fixed. 
Ostroff1998,"Ostroff, W. L. (1998) The perceptual draw of prosody: Infant-directed speech within the context of declining nonnative phoneme perception. Master's Thesis. Virginia Tech.",Ostroff (1998),NA,no,no,Heewon Hwang,Christina Bergmann/ Martin Zettersten,,2,NA,Ostroff (1998),Cooper,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,2,American English,other,typical,NA,NA,20,NA,316.82,NA,7.95,6.47,3.15,2.18,no,NA,7.6,0.42,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,12,NA,NA,0,1,1,Unfamiliar mother,Tape Recording,Laboratoy,Naturalistic,"Recordings were parents talking to their own child, or adult, and the recording were used for randomly assigned particpants.","MZ: test_lang is coded as other, because ADS was native and IDS was nonn-native. speaker_experience is a bit unclear for ADS - only ""female"" is specified, not nnecessarily caregiver experience; an ""effect size"" is reported as 0.42 - circumstantial evidence and the description in the text suggests this is Cohen's d, but not 100% explicit in the text - coded as d; removed one row previously added that also included analyses when removing the first trial (robustness check, shouldn't really be included as a separate row/ estimate)",
Schumacher1993,"Schumacher, Jean M. (1993). The effects of child-directed speech vs adult-directed speech on attention and categorization in prelinguistic infants. Master's Thesis. University of Nebraska.",Schumacher (1993),NA,no,no,Heewon Hwang,Martin Zettersten,MMG,1,IDS_vs_ADS_habituation,Schumacher (1993),,yes,infant_controlled,eye-tracking,habituation,CF,looking_time,yes,between,1,American English,native,typical,IDS,ADS,24,24,456.6,456.6,157,133,NA,NA,no,NA,NA,NA,NA,NA,NA,,14,14,6.5,6.5,2,NA,NA,NA,fussiness_2|distractions by siblings_5|current ear infections_3| possible developmental delays_1|falling asleep_1|failure to habituate_1,NA,NA,NA,NA,NA,0,0,1,Unfamiliar female,Video recording,Laboratory,Simulated,No SD ,"mean total fixation time during the habituation is coded; however, insufficient information available to estimate effect size (no SDs, t-value)",
Wang 2018,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2018). Preference for Infant-Directed Speech in Infants With Hearing Aids: Effects of Early Auditory Experience. Journal of Speech, Language, and Hearing Research, 61(9), 2431-2439.",Wang et al. (2018),10.1044/2018_JSLHR-H-18-0086,yes,no,Heewon Hwang,Martin Zettersten,Alvaro Iturralde,1,HA_IDS_VS_HA_ADS,Wang et al. (2018),Houston,yes,Infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,Older_HA,American English,native,hearing loss,NA,NA,9,NA,534.83,NA,8.6,8.02,7.4,5.04,no,NA,NA,NA,NA,NA,NA,,278.526,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,"MZ: means/ SDs were mixed up/ in the incorrect columns, now corrected; speaker_experience was previously coded as 1, now corrected to match speaker; stimuli may be identical to Wang2017, but unclear","After correction by second coder, data seems correctly coded"
Wang 2018,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2018). Preference for Infant-Directed Speech in Infants With Hearing Aids: Effects of Early Auditory Experience. Journal of Speech, Language, and Hearing Research, 61(9), 2431-2439.",Wang et al. (2018),10.1044/2018_JSLHR-H-18-0086,yes,no,Heewon Hwang,Martin Zettersten,Alvaro Iturralde,1,NH_IDS_VS_NH_ADS,Wang et al. (2018),Houston,yes,Infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,Older_NH,American English,native,typical,NA,NA,9,NA,533.92,NA,11.08,9.59,5.83,5.59,no,NA,NA,NA,NA,NA,NA,,287.96,NA,NA,NA,NA,NA,NA,NA,NA,0.67,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,"MZ: means/ SDs were mixed up/ in the incorrect columns, now corrected; speaker_experience was previously coded as 1, now corrected to match speaker; stimuli may be identical to Wang2017, but unclear","After correction by second coder, data seems correctly coded"
Wang 2018,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2018). Preference for Infant-Directed Speech in Infants With Hearing Aids: Effects of Early Auditory Experience. Journal of Speech, Language, and Hearing Research, 61(9), 2431-2439.",Wang et al. (2018),10.1044/2018_JSLHR-H-18-0086,yes,no,Heewon Hwang,Martin Zettersten,Alvaro Iturralde,2,Younger_HA_IDS_VS_Younger_HA_ADS,Wang et al. (2018),Houston,yes,Infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,Younger_HA,American English,native,hearing loss,NA,NA,10,NA,300.14,NA,8.09,5.46,3.53,2.71,no,NA,NA,NA,NA,NA,NA,,239.56,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,"MZ: means/ SDs were mixed up/ in the incorrect columns, now corrected; speaker_experience was previously coded as 1, now corrected to match speaker; stimuli may be identical to Wang2017, but unclear","After correction by second coder, data seems correctly coded"
Wang 2018,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2018). Preference for Infant-Directed Speech in Infants With Hearing Aids: Effects of Early Auditory Experience. Journal of Speech, Language, and Hearing Research, 61(9), 2431-2439.",Wang et al. (2018),10.1044/2018_JSLHR-H-18-0086,yes,no,Heewon Hwang,Martin Zettersten,Alvaro Iturralde,2,Younger_NH_IDS_VS_Younger_NH_ADS,Wang et al. (2018),Houston,yes,Infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,Younger_NH,American English,native,typical,NA,NA,14,NA,276.7,NA,7.74,5.35,4.8,3.41,no,NA,NA,NA,NA,NA,NA,,67.88,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,"MZ: means/ SDs were mixed up/ in the incorrect columns, now corrected; speaker_experience was previously coded as 1, now corrected to match speaker; stimuli may be identical to Wang2017, but unclear","After correction by second coder, data seems correctly coded"
