lab,age_group,d_z,n,d_z_var,method,mean_age,prop_monolingual,modal_lang1,mean_lang1_exposure,prop_preterm,prop_curr_earinfection,prop_hearing_vision,prop_cognitive_developmental,prop_nae,num_trials,participant_design,presentation,response_mode,setting,speaker,speaker_experience,speaker_fam,speaker_female,speech_type
babylabbrookes,3-6 mo,0.6740790358229655,20,0.10567978183170024,singlescreen,138.88888888888889,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabshimane,3-6 mo,-0.08307920348072037,13,0.15397888757790368,eyetracking,145.87755102040816,1,japanese,99.85714285714286,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bchdosu,3-6 mo,0.4497696870752735,20,0.10252865964264737,singlescreen,141.27480916030535,1,english,99.42748091603053,NA,0,0.11450381679389313,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bllumanitoba,3-6 mo,0.43669308120755473,12,0.17063960098280306,hpp,165.1046511627907,1,english,96.77906976744185,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
cdcceu,3-6 mo,-0.24731413465240495,11,0.1832082791181561,eyetracking,144.34545454545454,1,hungarian,99.78181818181818,0,0,0.01818181818181818,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
cogdevlabbyu,3-6 mo,-0.20918516557389244,18,0.11171886713189134,eyetracking,134.14705882352942,1,english,99.23529411764706,0.3235294117647059,0,0,0.029411764705882353,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
escompicbsleipzig,3-6 mo,0.14265281736141971,13,0.1542374966596375,eyetracking,155.04109589041096,1,german,99.02739726027397,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
ethosrennes,3-6 mo,-0.21846551507941125,43,0.046789111519063446,eyetracking,143.14285714285714,1,french,99.03174603174604,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
infantcogubc,3-6 mo,0.28603924172198786,27,0.07483165229448972,singlescreen,136.76923076923077,1,english,97.79289940828403,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
langlabucla,3-6 mo,0.41430203349893263,28,0.07296112656215491,hpp,153.5270935960591,1,english,99.14778325123153,NA,0,0,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
ldlottawa,3-6 mo,0.3925069790410549,11,0.18531958474081672,singlescreen,141.19230769230768,1,english,99.61538461538461,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
socialcogumiami,3-6 mo,-0.28437012832864705,18,0.1122342551373007,eyetracking,135.77586206896552,1,english,97.06896551724138,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
unlvmusiclab,3-6 mo,0.8120149228839431,20,0.10824210293732771,singlescreen,138.10852713178295,1,english,99.76744186046511,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
wsigoettingen,3-6 mo,-0.3841716342015899,12,0.16974141342760665,singlescreen,147.4777777777778,1,german,99.92222222222222,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
