study_id,short_cite,expt_num,original_ma,main_question_ids_preference,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,test_lang,infant_type,group_name_1,group_name_2,t,n_1,n_2,mean_age_1,same_infant,mean_age_2,x_1,x_2,sd_1,sd_2,r,corr,gender_1,num_trials,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,effect_significance_reported,d,d_var,es_method,prop_female,n,mean_age,age_group
Ward1999,Ward & Cooper (1999),1_2,no,no,eye-tracking,test_only,CF,looking_time,between,American English,native,typical,IDS,ADS,NA,20,20,127.7,1_2,132.2,15.14,22.3,7.54,12.78,NA,NA,0.45,12,1,1,0,Familiar father,Tape recording,Laboratory living room like setting,Naturalistic,NA,-0.6824001072978999,0.10582087383050232,classic_cohen_d_between,0.45,40,129.95,3-6 mo
Ward1999,Ward & Cooper (1999),1_2,no,no,eye-tracking,test_only,CF,looking_time,between,American English,native,typical,IDS,ADS,NA,20,20,127.7,1_2,132.2,14.26,18.8,5.64,8.56,NA,NA,0.45,12,0,1,0,Unfamiliar father,Tape recording,Laboratory living room like setting,Naturalistic,NA,-0.6263314304723496,0.10490363825996925,classic_cohen_d_between,0.45,40,129.95,3-6 mo
Ostroff1998,Ostroff (1998),2,no,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,other,typical,NA,NA,NA,20,NA,316.82,2,NA,7.95,6.47,3.15,2.18,NA,NA,0.4,12,0,1,1,Unfamiliar mother,Tape Recording,Laboratoy,Naturalistic,NA,0.5463728845298153,0.05746308322373577,d_within_two,0.4,20,316.82,9-12 mo
Wang 2018,Wang et al. (2018),1,no,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,hearing loss,NA,NA,NA,9,NA,534.83,Older_HA,NA,8.6,8.02,7.4,5.04,NA,NA,0.33,8,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,NA,0.09161356912043701,0.11157739144705472,d_within_two,0.33,9,534.83,15-18 mo
Wang 2018,Wang et al. (2018),1,no,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,9,NA,533.92,Older_NH,NA,11.08,9.59,5.83,5.59,NA,NA,0.67,8,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,NA,0.2608881034291236,0.11489236680615805,d_within_two,0.67,9,533.92,15-18 mo
Wang 2018,Wang et al. (2018),2,no,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,hearing loss,NA,NA,NA,10,NA,300.14,Younger_HA,NA,8.09,5.46,3.53,2.71,NA,NA,0.4,8,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,NA,0.8357633508908184,0.13492501893461248,d_within_two,0.4,10,300.14,9-12 mo
Wang 2018,Wang et al. (2018),2,no,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,14,NA,276.7,Younger_NH,NA,7.74,5.35,4.8,3.41,NA,NA,0.71,8,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,NA,0.5740475641844501,0.08319752164093215,d_within_two,0.71,14,276.7,6-9 mo
Wang 2018,Wang et al. (2018),1,no,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,hearing loss,NA,NA,NA,9,NA,534.83,Older_HA,NA,9.45,9.92,7.89,7.29,NA,NA,0.33,8,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,NA,-0.06187526926825501,0.11132380827483439,d_within_two,0.33,9,534.83,15-18 mo
Wang 2018,Wang et al. (2018),1,no,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,9,NA,533.92,Older_NH,NA,11.91,9.27,7.25,8.15,NA,NA,0.67,8,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,NA,0.34227313855183383,0.1176194945207846,d_within_two,0.67,9,533.92,15-18 mo
Wang 2018,Wang et al. (2018),2,no,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,hearing loss,NA,NA,NA,10,NA,300.14,Younger_HA,NA,6.44,10.41,2.7,6.17,NA,NA,0.4,8,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,NA,-0.8336317512781758,0.1347470948369559,d_within_two,0.4,10,300.14,9-12 mo
