study_id,short_cite,expt_num,original_ma,main_question_ids_preference,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,test_lang,infant_type,group_name_1,group_name_2,t,n_1,n_2,mean_age_1,same_infant,mean_age_2,x_1,x_2,sd_1,sd_2,r,corr,gender_1,num_trials,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,effect_significance_reported,d,d_var,es_method,prop_female,n,mean_age,age_group
Cooper1997,Cooper et al. (1997),3,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,23,NA,126,3,NA,23.72,19.9,12.76,9.69,NA,NA,0.47826087,10,1,1,1,Child’s mother,Tape recording,Laboratory,Naturalistic,significant,0.3371738132826634,0.04594969957312114,d_within_two,0.47826087,23,126,3-6 mo
Fernald1985,Fernald (1985),1,yes,yes,behavior,conditioning,CHT,target_selection,within_two,American English,native,typical,NA,NA,2.24,48,NA,123,1,NA,8.73,7.5,NA,NA,NA,NA,0.4375,15,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,significant,0.32,0.0219,reported_d,0.4375,48,123,3-6 mo
Fernald1987,Fernald & Kuhl (1987),1,yes,yes,behavior,conditioning,CHT,target_selection,within_one,American English,artificial,typical,NA,NA,3.45,20,NA,124,1,NA,9.8,7.5,NA,NA,NA,NA,0.45,15,0,1,1,Unfamiliar mother,Tape recording,Laboratory,filtered/synthesized,significant,0.771,0.064861025,reported_d,0.45,20,124,3-6 mo
Fernald1987,Fernald & Kuhl (1987),2,yes,yes,behavior,conditioning,CHT,target_selection,within_one,American English,artificial,typical,NA,NA,0.66,20,NA,122,2,NA,8.15,7.5,NA,NA,NA,NA,0.5,15,0,1,1,Unfamiliar mother,Tape recording,Laboratory,filtered/synthesized,non-significant,0.148,0.050547600000000005,reported_d,0.5,20,122,3-6 mo
Fernald1987,Fernald & Kuhl (1987),3,yes,yes,behavior,conditioning,CHT,target_selection,within_one,American English,artificial,typical,NA,NA,1.1,20,NA,125,3,NA,8.6,7.5,NA,NA,NA,NA,0.5,15,0,1,1,Unfamiliar mother,Tape recording,Laboratory,filtered/synthesized,non-significant,0.246,0.0515129,reported_d,0.5,20,125,3-6 mo
Kaplan1995a,Kaplan et al. (1995a),1,yes,yes,eye-tracking,test_only,CF,looking_time,between,American English,native,typical,IDS,ADS,NA,40,37,124,1,124,7.218868,5.878491,NA,NA,NA,NA,NA,10,0,1,1,Unfamiliar mother; Unfamiliar female,Tape recording,Laboratory,Simulated,significant,0.76,0.05577767637767638,reported_d,NA,77,124,3-6 mo
Kaplan1995a,Kaplan et al. (1995a),2,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,26,NA,126,2,NA,6.330532,5.747899,NA,NA,NA,NA,NA,NA,0,0,1,Unfamiliar mother; Unfamiliar female,Tape recording,Laboratory,Simulated,non-significant,0.82,0.051392307692307695,reported_d,NA,26,126,3-6 mo
Kaplan1995b,Kaplan et al. (1995b),1,yes,no,eye-tracking,familiarization,CF,looking_time,between,American English,native,typical,NA,NA,NA,15,15,124,1,124,6.88,6.18,2.67,2.13,NA,NA,0.6,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,non-significant,0.28983830054631726,0.1347334373410596,classic_cohen_d_between,0.6,30,124,3-6 mo
Kaplan1995b,Kaplan et al. (1995b),2,yes,no,eye-tracking,familiarization,CF,looking_time,between,American English,native,typical,NA,NA,NA,20,20,121,2,121,6.17,5.52,2.41,2.77,NA,NA,0.55,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,non-significant,0.25036135889735395,0.10078351012536163,classic_cohen_d_between,0.55,40,121,3-6 mo
Schachner2011,Schachner & Hannon (2011),1,yes,no,behavior,familiarization,FC,target_selection,within_two,American English,native,typical,NA,NA,1.43,20,NA,158.2,1,NA,46.65,43.47,7.815,12.47,NA,NA,0.5,NA,0,0,1,Unfamiliar females,Video recording,Laboratory,Simulated,non-significant,0.30558907997338647,0.052334617144974525,d_within_two,0.5,20,158.2,3-6 mo
Schachner2011,Schachner & Hannon (2011),1,yes,no,behavior,familiarization,FC,target_selection,within_two,American English,native,typical,NA,NA,NA,20,NA,158.2,1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0,0,1,Unfamiliar females,Video recording,Laboratory,Simulated,significant,1.26,0.08969,reported_d,0.5,20,158.2,3-6 mo
