lab,age_group,method,d_z,n,d_z_var,mean_age,prop_monolingual,modal_lang1,mean_lang1_exposure,prop_preterm,prop_curr_earinfection,prop_hearing_vision,prop_cognitive_developmental,prop_nae,num_trials,participant_design,presentation,response_mode,setting,speaker,speaker_experience,speaker_fam,speaker_female,speech_type
babylabbrookes,12-15 mo,singlescreen,0.30081253246058737,15,0.13484146966142252,414.21875,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabbrookes,3-6 mo,singlescreen,0.6740790358229656,20,0.10567978183170024,138.39130434782606,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabbrookes,6-9 mo,singlescreen,0.5748995814085148,15,0.13884182547839477,230.4390243902439,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkingswood,12-15 mo,hpp,0.4267504781500884,15,0.13636859951002214,408.6689189189189,1,english,99.81756756756756,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkingswood,6-9 mo,hpp,0.32431535877207,14,0.14473536521313315,220.70992366412213,1,english,99.00763358778626,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkonstanz,6-9 mo,hpp,1.0815507410224412,12,0.191036500112629,234.71818181818182,1,german,100,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylableiden,9-12 mo,hpp,0.9825054979389775,11,0.20375720576091633,320.288,1,dutch,97.576,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabnijmegen,6-9 mo,hpp,0.5020790927000348,26,0.07934695591660088,235.1504424778761,1,dutch,99.66371681415929,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabnijmegen,9-12 mo,hpp,0.09570454569191492,17,0.11778175529508965,329.90291262135923,1,dutch,99.8252427184466,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabparisdescartes1,12-15 mo,hpp,0.4058890922559875,13,0.15701434529254596,403.8074074074074,1,french,98.22962962962963,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
