lab,age_group,d_z,n,d_z_var,method,mean_age,prop_monolingual,modal_lang1,mean_lang1_exposure,prop_preterm,prop_curr_earinfection,prop_hearing_vision,prop_cognitive_developmental,prop_nae,num_trials,participant_design,presentation,response_mode,setting,speaker,speaker_experience,speaker_fam,speaker_female,speech_type
babylabbrookes,12-15 mo,0.4021481844567848,14,0.14574505646896227,singlescreen,414.21875,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabbrookes,3-6 mo,0.6740790358229655,20,0.10567978183170024,singlescreen,138.3913043478261,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabbrookes,6-9 mo,0.5748995814085146,15,0.13884182547839474,singlescreen,230.4390243902439,1,english,100,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkingswood,12-15 mo,0.42675047815008843,15,0.13636859951002214,hpp,408.6689189189189,1,english,99.81756756756756,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkingswood,6-9 mo,0.34997861057262625,15,0.13537475046430578,hpp,220.70992366412213,1,english,99.00763358778626,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabkonstanz,6-9 mo,1.0430984364696543,12,0.18933446558677994,hpp,234.71818181818182,1,german,100,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylablangessex,6-9 mo,0.581377752769341,12,0.17370833523781518,eyetracking,222.01769911504425,1,english,99.29203539823008,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylableiden,9-12 mo,1.5185056735502693,14,0.18403320501079207,hpp,320.288,1,dutch,97.576,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylablmu,12-15 mo,0.37209607081174856,15,0.13564092476522568,eyetracking,413.45454545454544,1,german,97.98787878787878,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylablmu,9-12 mo,0.48086278512853114,15,0.13718715030202613,eyetracking,324.1210191082803,1,german,99.2547770700637,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabnijmegen,6-9 mo,0.5020790927000348,26,0.07934695591660088,hpp,235.1504424778761,1,dutch,99.66371681415929,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabnijmegen,9-12 mo,-0.08033071393209709,21,0.09531491694762904,hpp,329.90291262135923,1,dutch,99.8252427184466,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabparisdescartes1,12-15 mo,0.4058890922559875,14,0.14579903491450694,hpp,403.8074074074074,1,french,98.22962962962963,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabplymouth,9-12 mo,0.6679551866836573,25,0.084461641314176,hpp,319.9779735682819,1,english,99.8898678414097,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabpotsdam,9-12 mo,0.5922814830675718,43,0.04855114741386467,hpp,308.14805194805194,1,german,98.48571428571428,NA,0,0,0.023376623376623377,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabpotsdam,9-12 mo,0.5922814830675718,43,0.04855114741386467,hpp,308.14805194805194,1,german,98.48571428571428,NA,0,0,0.023376623376623377,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabpotsdam,9-12 mo,0.5922814830675718,43,0.04855114741386467,singlescreen,308.14805194805194,1,german,98.48571428571428,NA,0,0,0.023376623376623377,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabpotsdam,9-12 mo,0.5922814830675718,43,0.04855114741386467,singlescreen,308.14805194805194,1,german,98.48571428571428,NA,0,0,0.023376623376623377,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabprinceton,12-15 mo,1.5277128550256964,10,0.2583476641852691,hpp,414.58947368421053,1,english,98.33684210526316,0.2736842105263158,0,0.031578947368421054,0,1,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabshimane,3-6 mo,-0.4038119729752735,12,0.17006383561496213,eyetracking,148.84552845528455,1,japanese,99.71544715447155,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabshimane,6-9 mo,0.17161357774735542,13,0.15441252346283169,eyetracking,230.796875,1,japanese,99.5390625,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabuclajohnson,12-15 mo,0.5393959732001817,20,0.10363685019880714,eyetracking,406.23369565217394,1,english,97.84782608695652,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabumassb,6-9 mo,0.8344064685122825,12,0.18117154488948206,eyetracking,223.73636363636365,1,english,96.9090909090909,NA,0,0,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabutrecht,6-9 mo,0.1956986075302118,29,0.06929567193956263,hpp,226.67153284671534,1,dutch,100,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabutrecht,9-12 mo,0.24701092264615893,31,0.06500818061214925,hpp,325.44406779661017,1,dutch,100,NA,0,0,0,0,16,within_two,tape recording,behavior,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabvuw,6-9 mo,0.031084802334250098,13,0.15386473586415692,singlescreen,228.74774774774775,1,english,98.15315315315316,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabyork,6-9 mo,0.20782626968676826,16,0.1256748712245612,singlescreen,220.4921875,1,english,100,NA,0.0625,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylabyork,9-12 mo,0.44450900927741127,14,0.14638550463087116,singlescreen,316.0082644628099,1,english,99.92561983471074,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
babylingoslo,6-9 mo,0.16212851700155506,30,0.06688571380020936,eyetracking,228.0443686006826,1,norwegian,99.69283276450511,NA,0,0,0,0,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
baldwinlabuoregon,9-12 mo,0.5855221137994364,15,0.13904726909580267,singlescreen,320.7518796992481,1,english,98.53383458646617,NA,0,0,0.06766917293233082,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bchdosu,12-15 mo,0.2507262368864611,15,0.13438106076438744,singlescreen,410.7593984962406,1,english,99.93984962406014,NA,0,0.06015037593984962,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bchdosu,3-6 mo,0.3951733564863167,18,0.11328002752328696,singlescreen,139.67073170731706,1,english,99.48170731707317,NA,0,0.10365853658536585,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
bchdosu,6-9 mo,0.046682915335157685,15,0.13336965490973648,singlescreen,242.38805970149255,1,english,98.88059701492537,NA,0,0.26865671641791045,0,1,16,within_two,tape recording,eye-tracking,laboratory,unfamiliar mother,1,0,1,naturalistic
