study_id,short_cite,expt_num,original_ma,main_question_ids_preference,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,test_lang,infant_type,group_name_1,group_name_2,t,n_1,n_2,mean_age_1,same_infant,mean_age_2,x_1,x_2,sd_1,sd_2,r,corr,gender_1,num_trials,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,effect_significance_reported,d,d_var,es_method,prop_female,n,mean_age,age_group
Cooper1997,Cooper et al. (1997),3,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,23,NA,126,Cooper1997_3,NA,NA,NA,NA,NA,NA,NA,0.47826087,NA,1,1,1,Child’s mother,Tape recording,Laboratory,Naturalistic,significant,0.34,0.045991304347826084,reported_d,0.47826087,23,126,3-6 mo
Fernald1985,Fernald (1985),1,yes,yes,behavior,conditioning,CHT,target_selection,within_two,American English,native,typical,NA,NA,NA,48,NA,123,Fernald1985,NA,NA,NA,NA,NA,NA,NA,0.4375,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,significant,0.65,0.025234375,reported_d,0.4375,48,123,3-6 mo
Fernald1987,Fernald & Kuhl (1987),1,yes,yes,behavior,conditioning,CHT,target_selection,within_two,American English,artificial,typical,NA,NA,NA,20,NA,124,Fernald1987_1,NA,NA,NA,NA,NA,NA,NA,0.45,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,filtered/synthesized,significant,1.54,0.10929,reported_d,0.45,20,124,3-6 mo
Fernald1987,Fernald & Kuhl (1987),2,yes,yes,behavior,conditioning,CHT,target_selection,within_two,American English,artificial,typical,NA,NA,NA,20,NA,122,Fernald1987_2,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,filtered/synthesized,non-significant,0,0.05,reported_d,0.5,20,122,3-6 mo
Fernald1987,Fernald & Kuhl (1987),3,yes,yes,behavior,conditioning,CHT,target_selection,within_two,American English,artificial,typical,NA,NA,NA,20,NA,125,Fernald1987_3,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,filtered/synthesized,non-significant,0.8,0.066,reported_d,0.5,20,125,3-6 mo
Glenn1983,Glenn & Cunningham (1983),1,yes,yes,behavior,conditioning,FC,target_selection,within_two,British English,native,down_syndrome,NA,NA,NA,10,NA,372,Glenn1983_1_sample2,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0,1,1,Child’s mother,Tape recording,Home,Naturalistic,significant,2.56,0.42768000000000006,reported_d,0.5,10,372,9-12 mo
Glenn1983,Glenn & Cunningham (1983),1,yes,yes,behavior,conditioning,FC,target_selection,within_two,British English,native,typical,NA,NA,NA,10,NA,279,Glenn1983_1_sample1,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0,1,1,Child’s mother,Tape recording,Home,Naturalistic,significant,2.39,0.385605,reported_d,0.5,10,279,6-9 mo
Kaplan1995a,Kaplan et al. (1995a),1,yes,yes,eye-tracking,test_only,CF,looking_time,between,American English,native,typical,NA,NA,NA,38,39,124,Kaplan1995a_1_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,significant,0.76,0.0557074644653592,reported_d,NA,77,124,3-6 mo
Kaplan1995a,Kaplan et al. (1995a),2,yes,yes,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,26,NA,126,Kaplan1995a_2_a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,non-significant,0.82,0.051392307692307695,reported_d,NA,26,126,3-6 mo
Kaplan1995b,Kaplan et al. (1995b),1,yes,no,eye-tracking,familiarization,CF,looking_time,between,American English,native,typical,NA,NA,NA,15,15,124,Kaplan1995b_1,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,non-significant,0.44,0.13656,reported_d,0.6,30,124,3-6 mo
Kaplan1995b,Kaplan et al. (1995b),1,yes,no,eye-tracking,familiarization,CF,looking_time,between,American English,native,typical,NA,NA,NA,15,15,124,Kaplan1995b_1,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,significant,0.88,0.14624,reported_d,0.6,30,124,3-6 mo
Kaplan1995b,Kaplan et al. (1995b),2,yes,no,eye-tracking,familiarization,CF,looking_time,between,American English,native,typical,NA,NA,NA,20,20,121,Kaplan1995b_2,NA,NA,NA,NA,NA,NA,NA,0.55,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,non-significant,0.14,0.100245,reported_d,0.55,40,121,3-6 mo
Kaplan1995b,Kaplan et al. (1995b),2,yes,no,eye-tracking,familiarization,CF,looking_time,between,American English,native,typical,NA,NA,NA,20,20,121,Kaplan1995b_2,NA,NA,NA,NA,NA,NA,NA,0.55,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,non-significant,0.36,0.10162,reported_d,0.55,40,121,3-6 mo
Schachner2011,Schachner & Hannon (2011),1,yes,no,eye-tracking,test_only,CF,looking_time,within_two,American English,native,typical,NA,NA,NA,20,NA,156,Schachner2011,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0,0,1,Unfamiliar females,Video recording,Laboratory,Simulated,non-significant,0.31,0.052402500000000005,reported_d,0.5,20,156,3-6 mo
Schachner2011,Schachner & Hannon (2011),1,yes,no,behavior,familiarization,FC,target_selection,within_two,American English,native,typical,NA,NA,NA,20,NA,156,Schachner2011,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0,0,1,Unfamiliar females,Video recording,Laboratory,Simulated,significant,1.26,0.08969,reported_d,0.5,20,156,3-6 mo
Singh2002,Singh et al. (2002),2,yes,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,NA,12,NA,179,Singh2002_2_happy,NA,NA,NA,NA,NA,NA,NA,0.388888889,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,non-significant,-0.16,0.08439999999999999,reported_d,0.388888889,12,179,3-6 mo
Singh2002,Singh et al. (2002),2,yes,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,NA,12,NA,179,Singh2002_2_neutral,NA,NA,NA,NA,NA,NA,NA,0.388888889,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,non-significant,-0.3,0.08708333333333333,reported_d,0.388888889,12,179,3-6 mo
Singh2002,Singh et al. (2002),2,yes,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,NA,12,NA,179,Singh2002_2_sad,NA,NA,NA,NA,NA,NA,NA,0.388888889,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,non-significant,-0.54,0.09548333333333334,reported_d,0.388888889,12,179,3-6 mo
Singh2002,Singh et al. (2002),2A,yes,yes,behavior,familiarization,HPP,looking_time,within_two,American English,native,typical,NA,NA,NA,24,NA,189,Singh2002_2A,NA,NA,NA,NA,NA,NA,NA,0.541666667,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,non-significant,0.24,0.042866666666666664,reported_d,0.541666667,24,189,3-6 mo
Singh2002,Singh et al. (2002),3,yes,no,behavior,familiarization,HPP,looking_time,between,American English,native,typical,NA,NA,NA,14,14,187,Singh2002_3,187,NA,NA,NA,NA,NA,NA,0.428571429,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,not reported,0.5,0.14732142857142858,reported_d,0.428571429,28,187,3-6 mo
Singh2002,Singh et al. (2002),3,yes,no,behavior,familiarization,HPP,looking_time,between,American English,native,typical,NA,NA,NA,14,14,187,Singh2002_3,187,NA,NA,NA,NA,NA,NA,0.428571429,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,not reported,0.61,0.1495017857142857,reported_d,0.428571429,28,187,3-6 mo
Singh2009,Singh et al. (2009),1,yes,no,behavior,familiarization,HPP,looking_time,between,American English,native,typical,NA,NA,NA,16,16,224,Singh2009,224,NA,NA,NA,NA,NA,NA,0.375,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,not reported,0.29,0.1263140625,reported_d,0.375,32,224,6-9 mo
Singh2009,Singh et al. (2009),1,yes,no,behavior,familiarization,HPP,looking_time,between,American English,native,typical,NA,NA,NA,16,16,224,Singh2009,224,NA,NA,NA,NA,NA,NA,0.375,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,not reported,0.29,0.1263140625,reported_d,0.375,32,224,6-9 mo
Trainor1996,Trainor et al. (1996),2,yes,yes,behavior,test_only,HPP,looking_time,within_two,Canadian English,native,typical,NA,NA,NA,30,NA,179,Trainor1996_2_playsongs,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,significant,2.27,0.11921499999999999,reported_d,NA,30,179,3-6 mo
