study_type,study_id,expt_num,short_cite,mean_age,age_group,n,d_calc,d_var_calc,native_lang,prop_nae,infant_type,main_question_ids_preference,same_infant,method,dependent_measure,presentation,response_mode,effect_significance_reported,unique_study_id,num_trials,participant_design,setting,speaker,speaker_experience,speaker_fam,speaker_female,speech_type,exposure_phase,test_lang,original_ma,group_name_1,group_name_2,t,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,sd_1,sd_2,r,corr,gender_1,es_method,prop_female,unique_infants
MB,babylabbrookes,NA,ManyBabies Consortium (2020),138.39130434782606,3-6 mo,20,0.6740790358229656,0.10567978183170024,english,0,typical,yes,1,singlescreen,looking_time,tape recording,eye-tracking,NA,babylabbrookes_singlescreen_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,babylabkingswood,NA,ManyBabies Consortium (2020),220.70992366412213,6-9 mo,15,0.3499786105726263,0.13537475046430578,english,0,typical,yes,1,hpp,looking_time,tape recording,behavior,NA,babylabkingswood_hpp_6-9 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,babylabshimane,NA,ManyBabies Consortium (2020),148.84552845528455,3-6 mo,13,-0.08307920348072034,0.15397888757790368,japanese,0,typical,yes,1,eyetracking,looking_time,tape recording,eye-tracking,NA,babylabshimane_eyetracking_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,bchdosu,NA,ManyBabies Consortium (2020),139.6707317073171,3-6 mo,20,0.44976968707527337,0.10252865964264736,english,1,typical,yes,1,singlescreen,looking_time,tape recording,eye-tracking,NA,bchdosu_singlescreen_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,bllumanitoba,NA,ManyBabies Consortium (2020),164.43636363636364,3-6 mo,13,0.4915985895813929,0.15849363794766183,english,1,typical,yes,1,hpp,looking_time,tape recording,behavior,NA,bllumanitoba_hpp_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,cdcceu,NA,ManyBabies Consortium (2020),146,3-6 mo,12,-0.3006911989495903,0.1685503166067863,hungarian,0,typical,yes,1,eyetracking,looking_time,tape recording,eye-tracking,NA,cdcceu_eyetracking_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,cogdevlabbyu,NA,ManyBabies Consortium (2020),136.93617021276594,3-6 mo,18,-0.2091851655738925,0.11171886713189134,english,1,non-typical,yes,1,eyetracking,looking_time,tape recording,eye-tracking,NA,cogdevlabbyu_eyetracking_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,escompicbsleipzig,NA,ManyBabies Consortium (2020),155.71875,3-6 mo,13,0.14265281736141971,0.1542374966596375,german,0,typical,yes,1,eyetracking,looking_time,tape recording,eye-tracking,NA,escompicbsleipzig_eyetracking_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,ethosrennes,NA,ManyBabies Consortium (2020),145.64248704663208,3-6 mo,46,-0.21962754628970757,0.04374041445157194,french,0,typical,yes,1,eyetracking,looking_time,tape recording,eye-tracking,NA,ethosrennes_eyetracking_3-6 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,nonnative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
MB,icclbc,NA,ManyBabies Consortium (2020),231.66304347826087,6-9 mo,13,0.1814476244473635,0.1544792930849537,english,1,typical,yes,1,singlescreen,looking_time,tape recording,eye-tracking,NA,icclbc_singlescreen_6-9 mo,16,within_two,laboratory,unfamiliar mother,1,0,1,naturalistic,test_only,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
