"","x","y","r"
"1","method_d.cht","speech_type_d.synthesized",0.863171935059108
"2","presentation_a.tape recording","trial_control_a.infant_controlled",0.80363756341608
"3","study_type_MB","speech_type_b.naturalistic",0.771214134874397
"4","study_type_MA","method_a.cf",0.742691812432708
"5","method_c.fc","dependent_measure_b.target_selection",0.69767826889435
"6","study_type_MA","speech_type_a.simulated",0.670515368926048
"7","speech_type_d.synthesized","dependent_measure_b.target_selection",0.602216301410225
"8","study_type_MB","mean_agec",0.597461924083046
"9","presentation_b.video recording","dependent_measure_c.facial_expression",0.559325247497008
"10","speech_type_b.naturalistic","mean_agec",0.556562410772694
"11","study_type_MA","test_lang_a.native",0.541497614889491
"12","speech_type_a.simulated","main_question_ids_preference_b.no",0.52331493707556
"13","method_a.cf","presentation_b.video recording",0.522753627666579
"14","speech_type_b.naturalistic","main_question_ids_preference_a.yes",0.511766315719159
"15","dependent_measure_c.facial_expression","trial_control_b.fixed_length",0.496579207267994
"16","method_a.cf","speech_type_a.simulated",0.493166851998984
"17","method_c.fc","own_mother_b.yes",0.486754966887417
"18","presentation_a.tape recording","dependent_measure_a.looking_time",0.483333333333333
"19","study_type_MA","presentation_b.video recording",0.467426352442803
"20","method_a.cf","trial_control_b.fixed_length",0.425138698545519
"21","method_a.cf","dependent_measure_c.facial_expression",0.418158671865926
"22","test_lang_nonnative","speech_type_b.naturalistic",0.417610614603548
"23","test_lang_a.native","method_a.cf",0.402165845030264
"24","method_b.hpp","trial_control_a.infant_controlled",0.39668175187901
"25","study_type_MA","main_question_ids_preference_b.no",0.394681416435209
"26","study_type_MB","method_eyetracking",0.37819154690956
"27","study_type_MB","method_singlescreen",0.371206174729975
"28","test_lang_a.native","speech_type_a.simulated",0.363082473020202
"29","study_type_MA","dependent_measure_b.target_selection",0.333133193217221
"30","own_mother_b.yes","dependent_measure_b.target_selection",0.329854691756172
"31","test_lang_nonnative","mean_agec",0.320635937970659
"32","method_a.cf","speech_type_c.filtered",0.312942442160148
"33","study_type_MA","dependent_measure_c.facial_expression",0.310563021892558
"34","trial_control_b.fixed_length","mean_agec",0.305910412177103
"35","method_eyetracking","speech_type_b.naturalistic",0.291666666666667
"36","method_singlescreen","speech_type_b.naturalistic",0.286279448904412
"37","test_lang_nonnative","method_eyetracking",0.28389293012458
"38","dependent_measure_a.looking_time","trial_control_a.infant_controlled",0.274792199103563
"39","method_c.fc","main_question_ids_preference_b.no",0.27194781808327
