name,value,section
m ests MA,85,1
m ests MB,104,1
m ests total,189,1
k studies MA,21,1
k studies MB,62,1
median n MA,17,1
median n MB,16,1
min n MA,9,1
min n MB,10,1
max n MA,77,1
max n MB,46,1
MA subset naive tau,0.32,2
MA subset naive k,85,2
MA subset naive n subj,1701,2
MA subset naive est X.Intercept.,0.39,2
MA subset naive lo X.Intercept.,0.23,2
MA subset naive hi X.Intercept.,0.55,2
MA subset naive pval X.Intercept.,< 0.0001,2
Reps subset naive tau,0.11,2
Reps subset naive k,104,2
Reps subset naive n subj,2139,2
Reps subset naive est X.Intercept.,0.35,2
Reps subset naive lo X.Intercept.,0.28,2
Reps subset naive hi X.Intercept.,0.43,2
Reps subset naive pval X.Intercept.,< 0.0001,2
NAIVE tau,0.28,2
NAIVE k,189,2
NAIVE n subj,3840,2
NAIVE est X.Intercept.,0.35,2
NAIVE est isMetaTRUE,0.03,2
NAIVE lo X.Intercept.,0.28,2
NAIVE lo isMetaTRUE,-0.14,2
NAIVE hi X.Intercept.,0.43,2
NAIVE hi isMetaTRUE,0.19,2
NAIVE pval X.Intercept.,< 0.0001,2
NAIVE pval isMetaTRUE,0.75397,2
NAIVE avg for meta,0.38,2
NAIVE avg lo for meta,0.22,2
NAIVE avg hi for meta,0.53,2
NAIVE avg pval for meta,1e-04,2
MOD1 tau,0.3,1
MOD1 k,189,1
MOD1 n subj,3840,1
MOD1 est X.Intercept.,0.36,1
MOD1 est isMetaTRUE,0.02,1
MOD1 est mean_agec_mos,0.01,1
MOD1 est test_langb.nonnative,-0.07,1
MOD1 est test_langc.artificial,-0.17,1
MOD1 est methodb.hpp,-0.01,1
MOD1 est methodc.other,0.21,1
MOD1 est speech_typeb.naturalistic,0.18,1
MOD1 est speech_typec.filtered.synthesized,-0.04,1
MOD1 est own_motherb.yes,-0.53,1
MOD1 est presentationb.video.recording,0.44,1
MOD1 est dependent_measureb.affect,0.24,1
MOD1 est main_question_ids_preferenceb.no,-0.02,1
MOD1 lo X.Intercept.,0.21,1
MOD1 lo isMetaTRUE,-0.2,1
MOD1 lo mean_agec_mos,-0.01,1
MOD1 lo test_langb.nonnative,-0.22,1
MOD1 lo test_langc.artificial,-2.67,1
MOD1 lo methodb.hpp,-0.18,1
MOD1 lo methodc.other,-1.83,1
MOD1 lo speech_typeb.naturalistic,-0.16,1
MOD1 lo speech_typec.filtered.synthesized,-0.42,1
MOD1 lo own_motherb.yes,-0.79,1
MOD1 lo presentationb.video.recording,-0.45,1
MOD1 lo dependent_measureb.affect,-0.21,1
MOD1 lo main_question_ids_preferenceb.no,-0.35,1
MOD1 hi X.Intercept.,0.51,1
MOD1 hi isMetaTRUE,0.23,1
MOD1 hi mean_agec_mos,0.03,1
MOD1 hi test_langb.nonnative,0.08,1
MOD1 hi test_langc.artificial,2.32,1
MOD1 hi methodb.hpp,0.16,1
MOD1 hi methodc.other,2.25,1
MOD1 hi speech_typeb.naturalistic,0.51,1
MOD1 hi speech_typec.filtered.synthesized,0.35,1
MOD1 hi own_motherb.yes,-0.28,1
MOD1 hi presentationb.video.recording,1.34,1
MOD1 hi dependent_measureb.affect,0.7,1
MOD1 hi main_question_ids_preferenceb.no,0.31,1
MOD1 pval X.Intercept.,< 0.0001,1
MOD1 pval isMetaTRUE,0.87281,1
MOD1 pval mean_agec_mos,0.19064,1
MOD1 pval test_langb.nonnative,0.36775,1
MOD1 pval test_langc.artificial,0.54386,1
MOD1 pval methodb.hpp,0.90108,1
MOD1 pval methodc.other,0.49974,1
MOD1 pval speech_typeb.naturalistic,0.25575,1
MOD1 pval speech_typec.filtered.synthesized,0.84350,1
MOD1 pval own_motherb.yes,0.0026162,1
MOD1 pval presentationb.video.recording,0.199790,1
MOD1 pval dependent_measureb.affect,0.102094,1
MOD1 pval main_question_ids_preferenceb.no,0.868908,1
MOD1 avg for meta,0.38,1
MOD1 avg lo for meta,0.16,1
MOD1 avg hi for meta,0.59,1
MOD1 avg pval for meta,2e-03,1
MA subset mods tau,0.33,1
MA subset mods k,85,1
MA subset mods n subj,1701,1
MA subset mods est X.Intercept.,0.52,1
MA subset mods est mean_agec_mos,0,1
MA subset mods est test_langb.nonnative,0.09,1
MA subset mods est test_langc.artificial,-0.2,1
MA subset mods est methodb.hpp,-0.26,1
MA subset mods est methodc.other,0.06,1
MA subset mods lo X.Intercept.,0.2,1
MA subset mods lo mean_agec_mos,-0.03,1
MA subset mods lo test_langb.nonnative,-0.22,1
MA subset mods lo test_langc.artificial,-2.85,1
MA subset mods lo methodb.hpp,-0.6,1
MA subset mods lo methodc.other,-2.02,1
MA subset mods hi X.Intercept.,0.83,1
MA subset mods hi mean_agec_mos,0.02,1
MA subset mods hi test_langb.nonnative,0.4,1
MA subset mods hi test_langc.artificial,2.46,1
MA subset mods hi methodb.hpp,0.08,1
MA subset mods hi methodc.other,2.14,1
MA subset mods pval X.Intercept.,0.0068681,1
MA subset mods pval mean_agec_mos,0.9498122,1
MA subset mods pval test_langb.nonnative,0.5121046,1
MA subset mods pval test_langc.artificial,0.5195447,1
MA subset mods pval methodb.hpp,0.1147740,1
MA subset mods pval methodc.other,0.8419205,1
Reps subset mods tau,0,1
Reps subset mods k,104,1
Reps subset mods n subj,2139,1
Reps subset mods est X.Intercept.,0.19,1
Reps subset mods est mean_agec_mos,0.05,1
Reps subset mods est test_langb.nonnative,-0.08,1
Reps subset mods est methodb.hpp,0.22,1
Reps subset mods lo X.Intercept.,0.08,1
Reps subset mods lo mean_agec_mos,0.02,1
Reps subset mods lo test_langb.nonnative,-0.19,1
Reps subset mods lo methodb.hpp,0.12,1
Reps subset mods hi X.Intercept.,0.31,1
Reps subset mods hi mean_agec_mos,0.07,1
Reps subset mods hi test_langb.nonnative,0.04,1
Reps subset mods hi methodb.hpp,0.32,1
Reps subset mods pval X.Intercept.,0.00237449,1
Reps subset mods pval mean_agec_mos,0.00029046,1
Reps subset mods pval test_langb.nonnative,0.19337149,1
Reps subset mods pval methodb.hpp,0.00014863,1
MA k nonaffirmative,54,4
MA k affirmative,31,4
weightr mu ,0.41,4
weightr mu lo,0.24,4
weightr mu hi,0.59,4
weightr mu pval,< 0.0001,4
Worst mu ,0.11,4
Worst mu lo,0,4
Worst mu hi,0.23,4
Worst mu pval,0.054,4
Corr MA est,0.2,4
Corr MA lo,0.08,4
Corr MA hi,0.32,4
Corr MA pval,0.004606,4
Perc pvals <0.025,36,4
Perc pvals >0.975,2,4
matched tau,0,6
matched k,36,6
matched n subj,783,6
matched est X.Intercept.,0.51,6
matched est isMetaTRUE,0.08,6
matched lo X.Intercept.,0.36,6
matched lo isMetaTRUE,-0.2,6
matched hi X.Intercept.,0.65,6
matched hi isMetaTRUE,0.37,6
matched pval X.Intercept.,< 0.0001,6
matched pval isMetaTRUE,0.48866,6
matched avg for meta,0.59,6
matched avg lo for meta,0.26,6
matched avg hi for meta,0.92,6
matched avg pval for meta,0.01,6
matched k total,36,6
matched k from MA,12,6
matched k from R,24,6
matched age diff mos,-1.8480021220729,6
pre-matching age diff mos,2.59084725626725,6
matched subclass 1 isMeta FALSE k,6,6
matched subclass 1 isMeta TRUE k,1,6
matched subclass 2 isMeta FALSE k,6,6
matched subclass 2 isMeta TRUE k,1,6
matched subclass 3 isMeta FALSE k,2,6
matched subclass 3 isMeta TRUE k,1,6
matched subclass 4 isMeta FALSE k,10,6
matched subclass 4 isMeta TRUE k,9,6
pre-matching mean_age mos,8.22844184628162,6
matched mean_age mos subclass 1,13.3120368655287,6
matched mean_age mos subclass 2,4.14406659085422,6
IPW robu est X.Intercept.,0.337841216598897,6
IPW robu est isMetaTRUE,0.197011040057295,6
IPW robu lo X.Intercept.,0.21,6
IPW robu lo isMetaTRUE,-0.21,6
IPW robu hi X.Intercept.,0.46,6
IPW robu hi isMetaTRUE,0.6,6
IPW robu pval X.Intercept.,0.00019286361451698,6
IPW robu pval isMetaTRUE,0.295333431103457,6
Reps subset naiveIC tau,0.05,8
Reps subset naiveIC k,56,8
Reps subset naiveIC n subj,1060,8
Reps subset naiveIC est X.Intercept.,0.44,8
Reps subset naiveIC lo X.Intercept.,0.33,8
Reps subset naiveIC hi X.Intercept.,0.55,8
Reps subset naiveIC pval X.Intercept.,< 0.0001,8
Meta subset naiveIC tau,0.32,8
Meta subset naiveIC k,85,8
Meta subset naiveIC n subj,1701,8
Meta subset naiveIC est X.Intercept.,0.39,8
Meta subset naiveIC lo X.Intercept.,0.23,8
Meta subset naiveIC hi X.Intercept.,0.55,8
Meta subset naiveIC pval X.Intercept.,< 0.0001,8
naiveIC tau,0.3,8
naiveIC k,141,8
naiveIC n subj,2761,8
naiveIC est X.Intercept.,0.44,8
naiveIC est isMetaTRUE,-0.06,8
naiveIC lo X.Intercept.,0.33,8
naiveIC lo isMetaTRUE,-0.24,8
naiveIC hi X.Intercept.,0.55,8
naiveIC hi isMetaTRUE,0.12,8
naiveIC pval X.Intercept.,<0.0001,8
naiveIC pval isMetaTRUE,0.5057,8
naiveIC avg for meta,0.38,8
