model,stat,est,lo,hi
naive,AvgM,0.37807946701213,0.224339322687907,0.531819611336354
naive,AvgR,0.352585592998369,0.278141045189757,0.531819611336354
naive,AvgDiff,0.0254938740137612,-0.137521931221528,0.188509679249052
naive,Phat0M,0.894117647058824,0.885785218081273,0.959427207637231
naive,Phat0R,1,0.964601769911504,1
naive,Phat0Diff,-0.105882352941176,-0.117894911966373,-0.0405727923627684
naive,Phat0.2M,0.682352941176471,0.607236278993456,0.797266514806378
naive,Phat0.2R,0.903846153846154,0.767602773953689,1
naive,Phat0.2Diff,-0.221493212669683,-0.33329199106176,-0.0232870998018563
mod,AvgM,0.375845671916308,0.164006591073296,0.58768475275932
mod,AvgR,0.358972555699692,0.21214494947215,0.58768475275932
mod,AvgDiff,0.0168731162166162,-0.198884736128945,0.232630968562177
mod,Phat0M,0.952941176470588,0.937620014899114,0.987605127623027
mod,Phat0R,1,,
mod,Phat0Diff,-0.0470588235294118,-0.0624641106264116,-0.0118587763749416
mod,Phat0.2M,0.870588235294118,0.804300698812112,0.951915807986724
mod,Phat0.2R,0,,
mod,Phat0.2Diff,0.870588235294118,0.828762048568663,0.944333996023857
modelDiff,AvgM,0.00223379509582239,,
modelDiff,AvgR,-0.00638696270132266,-0.0503695629213217,0.0528440738178154
modelDiff,AvgDiff,0.00862075779714505,-0.00930458799490545,0.0768057448876578
modelDiff,Phat0M,-0.0588235294117646,-0.0629902712779015,-0.0113895216400912
modelDiff,Phat0R,0,-0.0353982300884956,0
modelDiff,Phat0Diff,-0.0588235294117646,-0.0655765400373511,-0.0113895216400912
modelDiff,Phat0.2M,-0.188235294117647,-0.302225484274698,-0.0649528258173752
modelDiff,Phat0.2R,0.903846153846154,0.847922228290468,1
modelDiff,Phat0.2Diff,-1.0920814479638,-1.31348476085318,-0.262072699094687
