"","mod","level","source","k","est","lo","hi"
"1","test_lang","b.nonnative","Meta-analysis",4,NA,NA,NA
"2","test_lang","b.nonnative","Replications",58,0.305995646548268,0.180402604378214,0.431588688718323
"3","test_lang","a.native","Meta-analysis",78,0.384598252593887,0.216975637158991,0.552220868028782
"4","test_lang","a.native","Replications",46,0.417935504906523,0.311028509849787,0.524842499963258
"5","test_lang","c.artificial","Meta-analysis",3,NA,NA,NA
"6","test_lang","c.artificial","Replications",NA,NA,NA,NA
"7","method","a.cf","Meta-analysis",40,0.517974346747176,0.246019710482111,0.789928983012241
"8","method","a.cf","Replications",69,0.24999392010658,0.159530415783581,0.340457424429579
"9","method","b.hpp","Meta-analysis",39,0.253804023718494,0.0431208178372685,0.464487229599719
"10","method","b.hpp","Replications",35,0.517932107817559,0.417577632209515,0.618286583425603
"11","method","c.other","Meta-analysis",6,0.465424626395724,-0.0895799482789418,1.02042920107039
"12","method","c.other","Replications",NA,NA,NA,NA
"13","speech_type","b.naturalistic","Meta-analysis",23,0.508446668629531,0.258281523778569,0.758611813480493
"14","speech_type","b.naturalistic","Replications",104,0.354964458738614,0.276314904790659,0.433614012686568
"15","speech_type","a.simulated","Meta-analysis",55,0.358044990705189,0.129772348279979,0.586317633130399
"16","speech_type","a.simulated","Replications",NA,NA,NA,NA
"17","speech_type","c.filtered/synthesized","Meta-analysis",7,0.307127343256499,-0.593438376904243,1.20769306341724
"18","speech_type","c.filtered/synthesized","Replications",NA,NA,NA,NA
"19","own_mother","a.no","Meta-analysis",83,0.402345532643388,0.241233948335219,0.563457116951557
"20","own_mother","a.no","Replications",104,0.354964458738614,0.276314904790659,0.433614012686568
"21","own_mother","b.yes","Meta-analysis",2,NA,NA,NA
"22","own_mother","b.yes","Replications",NA,NA,NA,NA
"23","presentation","a.tape recording","Meta-analysis",70,0.320839366384085,0.192591709471444,0.449087023296727
"24","presentation","a.tape recording","Replications",104,0.354964458738614,0.276314904790659,0.433614012686568
"25","presentation","b.video recording","Meta-analysis",15,0.770232702799105,-0.264777327517684,1.80524273311589
"26","presentation","b.video recording","Replications",NA,NA,NA,NA
"27","dependent_measure","a.preference","Meta-analysis",78,0.355842283428915,0.220816098936942,0.490868467920889
"28","dependent_measure","a.preference","Replications",104,0.354964458738614,0.276314904790659,0.433614012686568
"29","dependent_measure","b.affect","Meta-analysis",7,0.817807466979675,-0.26723411839619,1.90284905235554
"30","dependent_measure","b.affect","Replications",NA,NA,NA,NA
"31","main_question_ids_preference","a.yes","Meta-analysis",71,0.400076141597528,0.222828184092274,0.577324099102782
"32","main_question_ids_preference","a.yes","Replications",104,0.354964458738614,0.276314904790659,0.433614012686568
"33","main_question_ids_preference","b.no","Meta-analysis",14,0.338979254612291,0.0467335496174504,0.631224959607132
"34","main_question_ids_preference","b.no","Replications",NA,NA,NA,NA
