"","x","y","r"
"1","study_type_MB","speech_type_b.naturalistic",0.752161387766452
"2","test_lang_c.artificial","method_c.other",0.702061959702036
"3","study_type_MA","speech_type_a.simulated",0.700994008680212
"4","test_lang_c.artificial","speech_type_c.filtered/synthesized",0.648418731782532
"5","test_lang_a.native","native_lang_english",0.607419379673538
"6","study_type_MB","test_lang_b.nonnative",0.54549364478248
"7","study_type_MA","test_lang_a.native",0.509001962861346
"8","test_lang_b.nonnative","speech_type_b.naturalistic",0.482189146494855
"9","test_lang_a.native","speech_type_a.simulated",0.463864630060432
"10","presentation_a.tape recording","dependent_measure_a.preference",0.458114161350924
"11","method_c.other","speech_type_c.filtered/synthesized",0.446179656677452
"12","native_lang_cantonese","presentation_b.video recording",0.442141065503433
"13","test_lang_b.nonnative","native_lang_german",0.414261877591708
"14","native_lang_english","speech_type_a.simulated",0.400294201813155
"15","study_type_MA","native_lang_english",0.370633615198373
"16","study_type_MA","main_question_ids_preference_b.no",0.33917192393381
"17","study_type_MB","main_question_ids_preference_a.yes",0.33917192393381
"18","native_lang_cantonese","dependent_measure_b.affect",0.336571190739057
"19","study_type_MA","presentation_b.video recording",0.297886326870274
"20","study_type_MB","presentation_a.tape recording",0.297886326870274
"21","study_type_MB","native_lang_german",0.277241312033469
"22","speech_type_b.naturalistic","main_question_ids_preference_a.yes",0.268166537993517
"23","speech_type_a.simulated","main_question_ids_preference_b.no",0.266578459474401
"24","test_lang_b.nonnative","native_lang_french",0.265931575743963
"25","test_lang_b.nonnative","native_lang_dutch",0.242179739848241
"26","test_lang_a.native","main_question_ids_preference_b.no",0.234742845389747
"27","test_lang_b.nonnative","main_question_ids_preference_a.yes",0.22698798581945
"28","method_b.hpp","presentation_a.tape recording",0.224600836044567
"29","native_lang_dutch","method_b.hpp",0.214961154236073
"30","native_lang_german","speech_type_b.naturalistic",0.208530210005286
"31","presentation_a.tape recording","main_question_ids_preference_a.yes",0.201443755471268
"32","presentation_b.video recording","main_question_ids_preference_b.no",0.201443755471267
"33","native_lang_english","main_question_ids_preference_b.no",0.193680049882501
"34","main_question_ids_preference_a.yes","mean_agec_mos",0.190232578671841
"35","presentation_a.tape recording","mean_agec_mos",0.189206141490017
"36","study_type_MA","dependent_measure_b.affect",0.188062609458348
"37","test_lang_b.nonnative","native_lang_korean",0.186700443213457
"38","study_type_MB","native_lang_french",0.177972492663323
"39","study_type_MA","speech_type_c.filtered/synthesized",0.175491029540757
"40","method_a.cf","presentation_b.video recording",0.170696723870771
"41","native_lang_korean","method_b.hpp",0.165717176815451
"42","native_lang_japanese","speech_type_b.naturalistic",0.165144564768955
"43","study_type_MA","method_c.other",0.162082091532669
"44","study_type_MB","native_lang_dutch",0.162076774270853
"45","test_lang_b.nonnative","native_lang_hungarian",0.152080319618739
"46","test_lang_b.nonnative","native_lang_spanish",0.152080319618739
"47","method_a.cf","dependent_measure_b.affect",0.150750251275475
"48","test_lang_b.nonnative","method_a.cf",0.147027785119041
"49","method_c.other","presentation_b.video recording",0.146025347778553
"50","method_b.hpp","dependent_measure_a.preference",0.141795764031366
"51","own_mother_a.no","mean_agec_mos",0.140433804754785
"52","native_lang_french","speech_type_b.naturalistic",0.133864037065899
"53","test_lang_a.native","method_b.hpp",0.132306755238429
"54","study_type_MA","native_lang_cantonese",0.131707777961327
"55","study_type_MB","mean_agec_mos",0.130042345515744
"56","speech_type_a.simulated","mean_agec_mos",0.127786594204926
"57","study_type_MB","native_lang_korean",0.124947716972269
"58","native_lang_german","method_a.cf",0.124070990198356
"59","native_lang_dutch","speech_type_b.naturalistic",0.121907891460274
"60","method_c.other","main_question_ids_preference_b.no",0.11904978791161
"61","study_type_MA","own_mother_b.yes",0.11379167081403
"62","study_type_MA","test_lang_c.artificial",0.11379167081403
"63","study_type_MB","own_mother_a.no",0.11379167081403
"64","native_lang_cantonese","speech_type_b.naturalistic",0.108777809467795
"65","test_lang_b.nonnative","native_lang_norwegian",0.10728429397379
"66","test_lang_b.nonnative","native_lang_turkish",0.107284293973789
"67","test_lang_b.nonnative","native_lang_italian",0.107284293973789
"68","native_lang_cantonese","method_a.cf",0.105576439036927
"69","study_type_MB","native_lang_spanish",0.101778487537113
"70","study_type_MB","native_lang_hungarian",0.101778487537112
"71","native_lang_english","speech_type_c.filtered/synthesized",0.100212042792842
"72","native_lang_japanese","method_b.hpp",0.0947721820532401
"73","native_lang_german","main_question_ids_preference_a.yes",0.0940324691963257
"74","speech_type_b.naturalistic","own_mother_b.yes",0.0939808481961111
"75","native_lang_korean","speech_type_b.naturalistic",0.0939808481961109
"76","native_lang_english","method_c.other",0.0925550299358902
"77","method_a.cf","own_mother_b.yes",0.0912149577083819
"78","test_lang_a.native","native_lang_cantonese",0.0911557130083579
"79","dependent_measure_a.preference","mean_agec_mos",0.088336811401171
"80","speech_type_a.simulated","own_mother_a.no",0.0875876009958304
"81","method_b.hpp","own_mother_a.no",0.0857968362236025
"82","own_mother_a.no","main_question_ids_preference_a.yes",0.0835803274033368
"83","own_mother_b.yes","main_question_ids_preference_b.no",0.0835803274033368
"84","native_lang_german","presentation_a.tape recording",0.0825863960983456
"85","test_lang_a.native","own_mother_b.yes",0.0787558718856453
"86","native_lang_hungarian","speech_type_b.naturalistic",0.0765538484306853
"87","native_lang_spanish","speech_type_b.naturalistic",0.0765538484306853
"88","test_lang_b.nonnative","own_mother_a.no",0.0761541281528576
"89","native_lang_japanese","main_question_ids_preference_a.yes",0.0744685923405711
"90","native_lang_hungarian","method_a.cf",0.0743008408739588
"91","native_lang_spanish","method_a.cf",0.0743008408739586
"92","study_type_MB","native_lang_swissgerman",0.0717991203892355
"93","study_type_MB","native_lang_italian",0.0717991203892355
"94","study_type_MB","native_lang_turkish",0.0717991203892353
"95","study_type_MB","native_lang_norwegian",0.0717991203892353
"96","test_lang_b.nonnative","native_lang_japanese",0.07146615881033
"97","native_lang_swissgerman","mean_agec_mos",0.0710891762460669
"98","study_type_MB","method_a.cf",0.0708463085028583
"99","dependent_measure_a.preference","main_question_ids_preference_b.no",0.0700390430572556
"100","native_lang_turkish","mean_agec_mos",0.0680295476004773
"101","method_a.cf","main_question_ids_preference_a.yes",0.0656753849103355
"102","native_lang_japanese","presentation_a.tape recording",0.065403926074558
"103","native_lang_english","own_mother_b.yes",0.0649793656970718
"104","test_lang_c.artificial","native_lang_english",0.0649793656970717
"105","test_lang_a.native","presentation_b.video recording",0.0632696294995658
"106","speech_type_a.simulated","dependent_measure_b.affect",0.061762281405706
"107","test_lang_b.nonnative","mean_agec_mos",0.0608847262582462
"108","native_lang_french","main_question_ids_preference_a.yes",0.0603632727439148
"109","method_a.cf","mean_agec_mos",0.057479806437433
"110","speech_type_c.filtered/synthesized","presentation_a.tape recording",0.0574015133051065
"111","native_lang_french","method_b.hpp",0.0569182958052363
"112","native_lang_dutch","main_question_ids_preference_a.yes",0.0549718913544315
"113","test_lang_b.nonnative","presentation_a.tape recording",0.0544934277533484
"114","method_a.cf","speech_type_b.naturalistic",0.0543548780153609
"115","native_lang_norwegian","speech_type_b.naturalistic",0.054004526032378
"116","native_lang_italian","speech_type_b.naturalistic",0.054004526032378
"117","native_lang_french","presentation_a.tape recording",0.0530155721234239
"118","native_lang_norwegian","method_a.cf",0.0524151532217016
"119","native_lang_turkish","method_a.cf",0.0524151532217015
"120","native_lang_italian","method_a.cf",0.0524151532217014
"121","native_lang_swissgerman","method_a.cf",0.0524151532217013
"122","native_lang_german","dependent_measure_a.preference",0.0521387245906702
"123","method_b.hpp","speech_type_a.simulated",0.049909305303166
"124","native_lang_cantonese","main_question_ids_preference_a.yes",0.0490511471587974
"125","native_lang_french","mean_agec_mos",0.0489676518329355
"126","native_lang_dutch","presentation_a.tape recording",0.0482804549585268
"127","speech_type_b.naturalistic","dependent_measure_a.preference",0.047354090541377
"128","test_lang_c.artificial","main_question_ids_preference_a.yes",0.0423787575566213
"129","native_lang_korean","main_question_ids_preference_a.yes",0.0423787575566213
"130","native_lang_japanese","dependent_measure_a.preference",0.0412910291507229
"131","native_lang_german","mean_agec_mos",0.0393748828804313
"132","test_lang_c.artificial","presentation_a.tape recording",0.0372202164596956
"133","own_mother_a.no","presentation_b.video recording",0.0372202164596956
"134","test_lang_b.nonnative","dependent_measure_b.affect",0.0370473043685206
"135","native_lang_korean","mean_agec_mos",0.0362414527536664
"136","speech_type_c.filtered/synthesized","dependent_measure_a.preference",0.0362389186923559
"137","native_lang_hungarian","main_question_ids_preference_a.yes",0.034520405433036
"138","native_lang_spanish","main_question_ids_preference_a.yes",0.034520405433036
"139","native_lang_french","dependent_measure_a.preference",0.0334699713820711
"140","native_lang_spanish","mean_agec_mos",0.0322658650218055
"141","native_lang_german","own_mother_a.no",0.0315477521149625
"142","test_lang_a.native","dependent_measure_a.preference",0.030537354763271
"143","native_lang_dutch","dependent_measure_a.preference",0.0304805811019681
"144","native_lang_hungarian","presentation_a.tape recording",0.0303184198068425
"145","method_b.hpp","main_question_ids_preference_b.no",0.0253977848903233
"146","native_lang_japanese","own_mother_a.no",0.0249841008280395
"147","native_lang_norwegian","main_question_ids_preference_a.yes",0.0243522457991724
"148","native_lang_turkish","main_question_ids_preference_a.yes",0.0243522457991724
"149","native_lang_italian","main_question_ids_preference_a.yes",0.0243522457991724
"150","test_lang_c.artificial","dependent_measure_a.preference",0.0234979936996679
"151","own_mother_b.yes","dependent_measure_a.preference",0.0234979936996679
"152","own_mother_a.no","dependent_measure_b.affect",0.0234979936996678
"153","native_lang_dutch","mean_agec_mos",0.0232303237548307
"154","speech_type_c.filtered/synthesized","own_mother_a.no",0.0219272034902307
"155","native_lang_italian","presentation_a.tape recording",0.021387976245266
"156","native_lang_turkish","presentation_a.tape recording",0.021387976245266
"157","native_lang_norwegian","presentation_a.tape recording",0.021387976245266
"158","method_c.other","own_mother_a.no",0.0202517872990971
"159","native_lang_french","own_mother_a.no",0.0202517872990971
"160","native_lang_hungarian","dependent_measure_a.preference",0.0191407279529534
"161","native_lang_spanish","dependent_measure_a.preference",0.0191407279529534
"162","native_lang_dutch","own_mother_a.no",0.0184429869444289
"163","speech_type_c.filtered/synthesized","main_question_ids_preference_b.no",0.0178953920629629
"164","native_lang_cantonese","own_mother_a.no",0.0164565861637583
"165","study_type_MA","method_b.hpp",0.0156772122349861
"166","test_lang_c.artificial","own_mother_a.no",0.0142180094786729
"167","native_lang_english","presentation_b.video recording",0.013703362458512
"168","study_type_MA","native_lang_japanese",0.013504683395944
"169","native_lang_norwegian","dependent_measure_a.preference",0.0135027299372137
"170","native_lang_turkish","dependent_measure_a.preference",0.0135027299372137
"171","native_lang_italian","dependent_measure_a.preference",0.0135027299372137
"172","speech_type_a.simulated","presentation_b.video recording",0.0117460196256048
"173","native_lang_hungarian","own_mother_a.no",0.011581544149773
"174","native_lang_spanish","own_mother_a.no",0.011581544149773
"175","native_lang_english","dependent_measure_a.preference",0.00986242889188715
"176","speech_type_b.naturalistic","presentation_b.video recording",0.00947465167172291
"177","native_lang_norwegian","own_mother_a.no",0.00817014187206883
"178","native_lang_italian","own_mother_a.no",0.00817014187206883
"179","native_lang_hungarian","mean_agec_mos",0.00434036269940554
"180","method_b.hpp","speech_type_b.naturalistic",-0.000568442279324058
"181","native_lang_english","method_a.cf",-0.0020461296983339
"182","method_b.hpp","mean_agec_mos",-0.00414729464919791
"183","native_lang_italian","native_lang_swissgerman",-0.00469483568075119
"184","native_lang_italian","native_lang_turkish",-0.00469483568075119
"185","native_lang_italian","native_lang_norwegian",-0.00469483568075119
"186","native_lang_norwegian","native_lang_turkish",-0.00469483568075119
"187","method_c.other","speech_type_a.simulated",-0.0060992629410472
"188","native_lang_italian","native_lang_spanish",-0.00665514106902298
"189","native_lang_spanish","native_lang_turkish",-0.00665514106902298
"190","native_lang_hungarian","native_lang_italian",-0.00665514106902298
"191","native_lang_hungarian","native_lang_turkish",-0.00665514106902299
"192","native_lang_hungarian","native_lang_norwegian",-0.00665514106902299
"193","native_lang_korean","native_lang_norwegian",-0.0081701418720687
"194","native_lang_italian","native_lang_korean",-0.00817014187206874
"195","native_lang_korean","native_lang_swissgerman",-0.00817014187206875
"196","test_lang_c.artificial","native_lang_italian",-0.00817014187206878
"197","test_lang_c.artificial","native_lang_turkish",-0.00817014187206878
"198","test_lang_c.artificial","native_lang_norwegian",-0.00817014187206878
"199","native_lang_italian","own_mother_b.yes",-0.00817014187206884
"200","native_lang_turkish","own_mother_b.yes",-0.00817014187206884
"201","native_lang_norwegian","own_mother_b.yes",-0.00817014187206884
"202","native_lang_hungarian","native_lang_spanish",-0.009433962264151
"203","native_lang_cantonese","native_lang_italian",-0.00945650260604406
"204","native_lang_cantonese","native_lang_norwegian",-0.00945650260604407
"205","speech_type_b.naturalistic","presentation_a.tape recording",-0.00947465167172312
"206","native_lang_english","dependent_measure_b.affect",-0.00986242889188715
"207","native_lang_dutch","native_lang_norwegian",-0.0105979546649422
"208","native_lang_dutch","native_lang_turkish",-0.0105979546649422
"209","native_lang_dutch","native_lang_italian",-0.0105979546649422
"210","native_lang_dutch","native_lang_swissgerman",-0.0105979546649422
"211","native_lang_hungarian","native_lang_korean",-0.0115815441497728
"212","native_lang_korean","native_lang_spanish",-0.0115815441497729
"213","test_lang_c.artificial","native_lang_spanish",-0.0115815441497729
"214","test_lang_c.artificial","native_lang_hungarian",-0.011581544149773
"215","native_lang_spanish","own_mother_b.yes",-0.011581544149773
"216","native_lang_hungarian","own_mother_b.yes",-0.011581544149773
"217","native_lang_french","native_lang_norwegian",-0.011637351602893
"218","native_lang_french","native_lang_italian",-0.0116373516028931
"219","native_lang_french","native_lang_swissgerman",-0.0116373516028931
"220","native_lang_italian","method_c.other",-0.0116373516028932
"221","native_lang_norwegian","method_c.other",-0.0116373516028932
"222","speech_type_a.simulated","presentation_a.tape recording",-0.0117460196256048
"223","native_lang_norwegian","speech_type_c.filtered/synthesized",-0.0126001015572279
"224","native_lang_turkish","speech_type_c.filtered/synthesized",-0.0126001015572279
"225","native_lang_italian","speech_type_c.filtered/synthesized",-0.0126001015572279
"226","native_lang_swissgerman","speech_type_c.filtered/synthesized",-0.0126001015572279
"227","native_lang_cantonese","native_lang_spanish",-0.0134050184377778
"228","native_lang_cantonese","native_lang_hungarian",-0.0134050184377778
"229","native_lang_italian","dependent_measure_b.affect",-0.0135027299372137
"230","native_lang_turkish","dependent_measure_b.affect",-0.0135027299372137
"231","native_lang_norwegian","dependent_measure_b.affect",-0.0135027299372137
"232","study_type_MB","native_lang_japanese",-0.013504683395944
"233","native_lang_english","presentation_a.tape recording",-0.0137033624585119
"234","test_lang_c.artificial","native_lang_korean",-0.0142180094786729
"235","test_lang_c.artificial","own_mother_b.yes",-0.0142180094786729
"236","native_lang_japanese","native_lang_norwegian",-0.0143566965978846
"237","native_lang_japanese","native_lang_turkish",-0.0143566965978846
"238","native_lang_italian","native_lang_japanese",-0.0143566965978846
"239","native_lang_japanese","native_lang_swissgerman",-0.0143566965978846
"240","native_lang_dutch","native_lang_spanish",-0.015023078151058
"241","native_lang_dutch","native_lang_hungarian",-0.015023078151058
"242","study_type_MB","method_b.hpp",-0.015677212234986
"243","test_lang_c.artificial","native_lang_cantonese",-0.0164565861637583
"244","native_lang_french","native_lang_hungarian",-0.0164964701330467
"245","native_lang_french","native_lang_spanish",-0.0164964701330467
"246","native_lang_spanish","method_c.other",-0.0164964701330469
"247","native_lang_hungarian","method_c.other",-0.0164964701330469
"248","native_lang_hungarian","speech_type_c.filtered/synthesized",-0.0178612115629892
