name,value,section
m ests MA,112,1
m ests MB,102,1
m ests total,214,1
k studies MA,30,1
k studies MB,62,1
median n MA,16.5,1
median n MB,16,1
min n MA,9,1
min n MB,10,1
max n MA,77,1
max n MB,46,1
MA subset naive tau,0.31,2
MA subset naive k,112,2
MA subset naive n subj,2257,2
MA subset naive est X.Intercept.,0.35,2
MA subset naive lo X.Intercept.,0.22,2
MA subset naive hi X.Intercept.,0.47,2
MA subset naive pval X.Intercept.,< 0.0001,2
Reps subset naive tau,0.11,2
Reps subset naive k,102,2
Reps subset naive n subj,2004,2
Reps subset naive est X.Intercept.,0.34,2
Reps subset naive lo X.Intercept.,0.27,2
Reps subset naive hi X.Intercept.,0.42,2
Reps subset naive pval X.Intercept.,< 0.0001,2
NAIVE tau,0.27,2
NAIVE k,214,2
NAIVE n subj,4261,2
NAIVE est X.Intercept.,0.34,2
NAIVE est isMetaTRUE,-0.01,2
NAIVE lo X.Intercept.,0.27,2
NAIVE lo isMetaTRUE,-0.14,2
NAIVE hi X.Intercept.,0.42,2
NAIVE hi isMetaTRUE,0.13,2
NAIVE pval X.Intercept.,< 0.0001,2
NAIVE pval isMetaTRUE,0.91896,2
NAIVE avg for meta,0.34,2
NAIVE avg lo for meta,0.22,2
NAIVE avg hi for meta,0.46,2
NAIVE avg pval for meta,< 0.00001,2
MOD1 tau,0.3,1
MOD1 k,214,1
MOD1 n subj,4261,1
MOD1 est X.Intercept.,0.35,1
MOD1 est isMetaTRUE,-0.03,1
MOD1 est mean_agec_mos,0.01,1
MOD1 est test_langb.nonnative,-0.06,1
MOD1 est test_langc.artificial,-0.17,1
MOD1 est methodb.hpp,0.04,1
MOD1 est methodc.other,0.28,1
MOD1 est speech_typeb.naturalistic,0.11,1
MOD1 est speech_typec.filtered.synthesized,0.02,1
MOD1 est own_motherb.yes,-0.59,1
MOD1 est presentationb.video.recording,0.34,1
MOD1 est dependent_measureb.affect,0.38,1
MOD1 est main_question_ids_preferenceb.no,-0.16,1
MOD1 lo X.Intercept.,0.22,1
MOD1 lo isMetaTRUE,-0.2,1
MOD1 lo mean_agec_mos,0,1
MOD1 lo test_langb.nonnative,-0.2,1
MOD1 lo test_langc.artificial,-2.68,1
MOD1 lo methodb.hpp,-0.13,1
MOD1 lo methodc.other,-1.86,1
MOD1 lo speech_typeb.naturalistic,-0.21,1
MOD1 lo speech_typec.filtered.synthesized,-0.33,1
MOD1 lo own_motherb.yes,-2.83,1
MOD1 lo presentationb.video.recording,-0.27,1
MOD1 lo dependent_measureb.affect,-0.22,1
MOD1 lo main_question_ids_preferenceb.no,-0.45,1
MOD1 hi X.Intercept.,0.47,1
MOD1 hi isMetaTRUE,0.14,1
MOD1 hi mean_agec_mos,0.03,1
MOD1 hi test_langb.nonnative,0.09,1
MOD1 hi test_langc.artificial,2.34,1
MOD1 hi methodb.hpp,0.21,1
MOD1 hi methodc.other,2.42,1
MOD1 hi speech_typeb.naturalistic,0.42,1
MOD1 hi speech_typec.filtered.synthesized,0.38,1
MOD1 hi own_motherb.yes,1.66,1
MOD1 hi presentationb.video.recording,0.95,1
MOD1 hi dependent_measureb.affect,0.98,1
MOD1 hi main_question_ids_preferenceb.no,0.13,1
MOD1 pval X.Intercept.,< 0.0001,1
MOD1 pval isMetaTRUE,0.70884,1
MOD1 pval mean_agec_mos,0.11954,1
MOD1 pval test_langb.nonnative,0.42715,1
MOD1 pval test_langc.artificial,0.54354,1
MOD1 pval methodb.hpp,0.62296,1
MOD1 pval methodc.other,0.40151,1
MOD1 pval speech_typeb.naturalistic,0.47369,1
MOD1 pval speech_typec.filtered.synthesized,0.89422,1
MOD1 pval own_motherb.yes,0.25429,1
MOD1 pval presentationb.video.recording,0.216081,1
MOD1 pval dependent_measureb.affect,0.111503,1
MOD1 pval main_question_ids_preferenceb.no,0.248642,1
MOD1 avg for meta,0.32,1
MOD1 avg lo for meta,0.16,1
MOD1 avg hi for meta,0.47,1
MOD1 avg pval for meta,5e-04,1
MA subset mods tau,0.33,1
MA subset mods k,112,1
MA subset mods n subj,2257,1
MA subset mods est X.Intercept.,0.38,1
MA subset mods est mean_agec_mos,0,1
MA subset mods est test_langb.nonnative,0.15,1
MA subset mods est test_langc.artificial,-0.19,1
MA subset mods est methodb.hpp,-0.13,1
MA subset mods est methodc.other,0.2,1
MA subset mods lo X.Intercept.,0.18,1
MA subset mods lo mean_agec_mos,-0.02,1
MA subset mods lo test_langb.nonnative,-0.53,1
MA subset mods lo test_langc.artificial,-2.83,1
MA subset mods lo methodb.hpp,-0.4,1
MA subset mods lo methodc.other,-1.98,1
MA subset mods hi X.Intercept.,0.58,1
MA subset mods hi mean_agec_mos,0.02,1
MA subset mods hi test_langb.nonnative,0.84,1
MA subset mods hi test_langc.artificial,2.44,1
MA subset mods hi methodb.hpp,0.14,1
MA subset mods hi methodc.other,2.38,1
MA subset mods pval X.Intercept.,0.0013188,1
MA subset mods pval mean_agec_mos,0.8136707,1
MA subset mods pval test_langb.nonnative,0.3901213,1
MA subset mods pval test_langc.artificial,0.5234555,1
MA subset mods pval methodb.hpp,0.3327818,1
MA subset mods pval methodc.other,0.5298959,1
Reps subset mods tau,0,1
Reps subset mods k,102,1
Reps subset mods n subj,2004,1
Reps subset mods est X.Intercept.,0.25,1
Reps subset mods est mean_agec_mos,0.04,1
Reps subset mods est test_langb.nonnative,-0.1,1
Reps subset mods est methodb.hpp,0.22,1
Reps subset mods lo X.Intercept.,0.15,1
Reps subset mods lo mean_agec_mos,0.02,1
Reps subset mods lo test_langb.nonnative,-0.21,1
Reps subset mods lo methodb.hpp,0.12,1
Reps subset mods hi X.Intercept.,0.35,1
Reps subset mods hi mean_agec_mos,0.07,1
Reps subset mods hi test_langb.nonnative,0,1
Reps subset mods hi methodb.hpp,0.33,1
Reps subset mods pval X.Intercept.,< 0.0001,1
Reps subset mods pval mean_agec_mos,0.00032137,1
Reps subset mods pval test_langb.nonnative,0.05959164,1
Reps subset mods pval methodb.hpp,0.00011699,1
MA k nonaffirmative,71,4
MA k affirmative,41,4
weightr mu ,0.28,4
weightr mu lo,0.14,4
weightr mu hi,0.41,4
weightr mu pval,< 0.0001,4
Worst mu ,0.09,4
Worst mu lo,-0.01,4
Worst mu hi,0.18,4
Worst mu pval,0.064,4
Corr MA est,0.17,4
Corr MA lo,0.06,4
Corr MA hi,0.27,4
Corr MA pval,0.0032929,4
Perc pvals <0.025,37,4
Perc pvals >0.975,4,4
matched tau,0,6
matched k,59,6
matched n subj,1193,6
matched est X.Intercept.,0.37,6
matched est isMetaTRUE,0.21,6
matched lo X.Intercept.,0.25,6
matched lo isMetaTRUE,-0.05,6
matched hi X.Intercept.,0.49,6
matched hi isMetaTRUE,0.47,6
matched pval X.Intercept.,< 0.0001,6
matched pval isMetaTRUE,0.087566,6
matched avg for meta,0.58,6
matched avg lo for meta,0.32,6
matched avg hi for meta,0.84,6
matched avg pval for meta,6e-03,6
matched k total,59,6
matched k from MA,13,6
matched k from R,46,6
matched age diff mos,-1.39262143404547,6
pre-matching age diff mos,1.21915654983685,6
matched subclass 1 isMeta FALSE k,22,6
matched subclass 1 isMeta TRUE k,1,6
matched subclass 2 isMeta FALSE k,6,6
matched subclass 2 isMeta TRUE k,1,6
matched subclass 3 isMeta FALSE k,6,6
matched subclass 3 isMeta TRUE k,1,6
matched subclass 4 isMeta FALSE k,2,6
matched subclass 4 isMeta TRUE k,1,6
matched subclass 5 isMeta FALSE k,10,6
matched subclass 5 isMeta TRUE k,9,6
pre-matching mean_age mos,8.74127070696106,6
matched mean_age mos subclass 1,8.31460117656548,6
matched mean_age mos subclass 2,13.3120368655287,6
IPW robu est X.Intercept.,0.333561753618827,6
IPW robu est isMetaTRUE,0.188122574910106,6
IPW robu lo X.Intercept.,0.23,6
IPW robu lo isMetaTRUE,-0.84,6
IPW robu hi X.Intercept.,0.44,6
IPW robu hi isMetaTRUE,1.22,6
IPW robu pval X.Intercept.,0.0000502025419830687,6
IPW robu pval isMetaTRUE,0.311312915362459,6
Reps subset naiveIC tau,0.05,8
Reps subset naiveIC k,56,8
Reps subset naiveIC n subj,1060,8
Reps subset naiveIC est X.Intercept.,0.44,8
Reps subset naiveIC lo X.Intercept.,0.33,8
Reps subset naiveIC hi X.Intercept.,0.55,8
Reps subset naiveIC pval X.Intercept.,< 0.0001,8
Meta subset naiveIC tau,0.31,8
Meta subset naiveIC k,112,8
Meta subset naiveIC n subj,2257,8
Meta subset naiveIC est X.Intercept.,0.35,8
Meta subset naiveIC lo X.Intercept.,0.22,8
Meta subset naiveIC hi X.Intercept.,0.47,8
Meta subset naiveIC pval X.Intercept.,< 0.0001,8
naiveIC tau,0.29,8
naiveIC k,168,8
naiveIC n subj,3317,8
naiveIC est X.Intercept.,0.44,8
naiveIC est isMetaTRUE,-0.1,8
naiveIC lo X.Intercept.,0.33,8
naiveIC lo isMetaTRUE,-0.26,8
naiveIC hi X.Intercept.,0.55,8
naiveIC hi isMetaTRUE,0.06,8
naiveIC pval X.Intercept.,< 0.0001,8
naiveIC pval isMetaTRUE,0.19789,8
naiveIC avg for meta,0.34,8
naiveIC avg lo for meta,0.22,8
naiveIC avg hi for meta,0.46,8
naiveIC avg pval for meta,< 0.00001,8
modIC tau,0.31,8
modIC k,168,8
modIC n subj,3317,8
modIC est X.Intercept.,0.53,8
modIC est isMetaTRUE,-0.17,8
modIC est mean_agec_mos,0.01,8
modIC est test_langb.nonnative,-0.12,8
modIC est test_langc.artificial,-0.18,8
modIC est methodb.hpp,-0.04,8
modIC est methodc.other,0.23,8
