model,stat,est,lo,hi
naive,AvgM,0.337463719091834,0.217261707066473,0.457665731117195
naive,AvgR,0.344429079724654,0.271187047107162,0.417671112342146
naive,AvgDiff,-0.00696536063281983,-0.143259537290653,0.129328816025013
naive,Phat0M,0.857142857142857,0.833633812453208,0.900505902192243
naive,Phat0R,1,0.957219251336898,1
naive,Phat0Diff,-0.142857142857143,-0.170784185947469,-0.0718842369139821
naive,Phat0.2M,0.642857142857143,0.608834910629322,0.733840304182509
naive,Phat0.2R,0.892156862745098,0.764401699905914,1
naive,Phat0.2Diff,-0.249299719887955,-0.403410387987107,-0.0641735530799521
mod,AvgM,0.315594807677425,0.15843451063619,0.47275510471866
mod,AvgR,0.346677321631273,0.219156704870982,0.474197938391564
mod,AvgDiff,-0.0310825139538478,-0.199176602319007,0.137011574411311
mod,Phat0M,0.883928571428571,0.826714801444043,0.915821364968102
mod,Phat0R,1,,
mod,Phat0Diff,-0.116071428571429,-0.173285198555957,-0.0841786350318976
mod,Phat0.2M,0.714285714285714,0.620337839393198,0.785149606345642
mod,Phat0.2R,1,,
mod,Phat0.2Diff,-0.285714285714286,-0.379537075333505,-0.213355053726875
modelDiff,AvgM,0.0218689114144091,,
modelDiff,AvgR,-0.00224824190661888,-0.0424832669149188,0.0967652731417468
modelDiff,AvgDiff,0.024117153321028,-0.000110263888091869,0.118576835556552
modelDiff,Phat0M,-0.0267857142857143,-0.0288752711077176,0.0186219739292365
modelDiff,Phat0R,0,-0.0427807486631016,0
modelDiff,Phat0Diff,-0.0267857142857143,-0.0365479718703402,0.0356432505249812
modelDiff,Phat0.2M,-0.0714285714285714,-0.12733582854832,0.00843170320404718
modelDiff,Phat0.2R,-0.107843137254902,-0.23557164221729,0
modelDiff,Phat0.2Diff,0.0364145658263305,-0.133603554813431,0.223462347302918
