model,stat,est,lo,hi
naive,AvgM,0.481410485139246,0.254546493681425,0.708274476597067
naive,AvgR,0.352575828828742,0.278137703929039,0.708274476597067
naive,AvgDiff,0.128834656310504,-0.0938167840088885,0.351486096629896
naive,Phat0M,0.872727272727273,0.870507912565543,0.901023890784983
naive,Phat0R,1,0.950207468879668,1
naive,Phat0Diff,-0.127272727272727,-0.137172532114367,-0.0851987172327967
naive,Phat0.2M,0.781818181818182,0.7551878178869,0.843373493975904
naive,Phat0.2R,0.903846153846154,0.770003764758669,1
naive,Phat0.2Diff,-0.122027972027972,-0.220795201500229,0.0673762327897666
mod,AvgM,0.482704270307019,0.19835862789454,0.767049912719498
mod,AvgR,0.201625088632138,0.0405703124599949,0.767049912719498
mod,AvgDiff,0.281079181674881,-0.0575418672952723,0.619700230645035
mod,Phat0M,0.981818181818182,0.973244147157191,1
mod,Phat0R,1,,
mod,Phat0Diff,-0.0181818181818182,-0.0267857142857143,0
mod,Phat0.2M,0.927272727272727,0.906137463354701,0.977848101265823
mod,Phat0.2R,0,,
mod,Phat0.2Diff,0.927272727272727,0.90695510192569,0.977848101265823
modelDiff,AvgM,-0.00129378516777323,,
modelDiff,AvgR,0.150950740196603,0.119959227017231,0.228872832142324
modelDiff,AvgDiff,-0.152244525364377,-0.183498268736224,-0.0826600654714093
modelDiff,Phat0M,-0.109090909090909,-0.153338139268611,-0.0441767068273092
modelDiff,Phat0R,0,-0.049792531120332,0
modelDiff,Phat0Diff,-0.109090909090909,-0.158232201121678,-0.0307332120451638
modelDiff,Phat0.2M,-0.145454545454545,-0.245203862553461,-0.0499999999999999
modelDiff,Phat0.2R,0.903846153846154,0,1
modelDiff,Phat0.2Diff,-1.0493006993007,-1.18594957576897,-0.0196581196581196
