"Study","N","Mean Age (mos.)","Test Language","Method","Estimate","CI"
"Cooper & Aslin (1990)",12,1.1,"Native","Central fixation",0.689513180009537,"[0.06, 1.32]"
"Cooper & Aslin (1990)",16,0.1,"Native","Central fixation",0.789944866954881,"[0.23, 1.35]"
"Cooper & Aslin (1994)",12,1.1,"Native","Central fixation",-0.0386746807953744,"[-0.60, 0.53]"
"Cooper & Aslin (1994)",20,1.1,"Native","Central fixation",0.27,"[-0.61, 1.15]"
"Cooper & Aslin (1994)",10,1.1,"Native","Central fixation",1.24184984662166,"[0.42, 2.07]"
"Cooper & Aslin (1994)",10,1.1,"Native","Central fixation",-0.279891334248482,"[-0.91, 0.35]"
"Cooper et al. (1997)",20,1.3,"Native","Central fixation",-0.360412516046431,"[-0.81, 0.09]"
"Cooper et al. (1997)",20,1.4,"Native","Central fixation",0.446187426875581,"[-0.01, 0.91]"
"Cooper et al. (1997)",23,4.1,"Native","Central fixation",0.337173813282663,"[-0.08, 0.76]"
"Fernald & Kuhl (1987)",20,4.1,"Artificial","Other",0.771,"[0.27, 1.27]"
"Fernald & Kuhl (1987)",20,4,"Artificial","Other",0.148,"[-0.29, 0.59]"
"Fernald & Kuhl (1987)",20,4.1,"Artificial","Other",0.246,"[-0.20, 0.69]"
"Fernald (1985)",48,4,"Native","Other",0.32,"[0.03, 0.61]"
"Kaplan et al. (1995a)",77,4.1,"Native","Central fixation",0.76,"[0.30, 1.22]"
"Kaplan et al. (1995a)",26,4.1,"Native","Central fixation",0.82,"[0.38, 1.26]"
"Kaplan et al. (1995b)",30,4.1,"Native","Central fixation",0.289838300546317,"[-0.43, 1.01]"
"Kaplan et al. (1995b)",40,4,"Native","Central fixation",0.250361358897354,"[-0.37, 0.87]"
"Pegg et al. (1992)",24,1.6,"Native","Central fixation",0.458112379500447,"[0.04, 0.88]"
"Pegg et al. (1992)",24,1.6,"Native","Central fixation",1.1533917847891,"[0.64, 1.67]"
"Schachner & Hannon (2011)",20,5.2,"Native","Other",0.305589079973386,"[-0.14, 0.75]"
"Schachner & Hannon (2011)",20,5.2,"Native","Other",1.26,"[0.67, 1.85]"
"Singh et al. (2002)",13,6.1,"Native","HPP",1.39510706935828,"[0.63, 2.16]"
"Singh et al. (2002)",12,5.9,"Native","HPP",-0.0427350427350426,"[-0.61, 0.52]"
"Singh et al. (2002)",12,5.9,"Native","HPP",-0.134616815922349,"[-0.70, 0.43]"
"Singh et al. (2002)",12,5.9,"Native","HPP",-0.173176220458303,"[-0.74, 0.40]"
"Singh et al. (2002)",24,6.2,"Native","HPP",0.0495362209691309,"[-0.35, 0.45]"
"Singh et al. (2002)",28,6.1,"Native","HPP",0.127774061341844,"[-0.61, 0.87]"
"Singh et al. (2002)",28,6.1,"Native","HPP",0.153559066854099,"[-0.59, 0.90]"
"Singh et al. (2002)",16,6,"Native","HPP",1.26847619565939,"[0.61, 1.93]"
"Singh et al. (2002)",16,6,"Native","HPP",-0.549557479085484,"[-1.08, -0.02]"
"Singh et al. (2002)",14,6.1,"Native","HPP",1.03381189792477,"[0.38, 1.68]"
"Singh et al. (2002)",14,6.1,"Native","HPP",-0.296200952861863,"[-0.83, 0.24]"
"Singh et al. (2009)",32,7.4,"Native","HPP",0.330000001055,"[-0.37, 1.03]"
"Singh et al. (2009)",32,7.4,"Native","HPP",0.344847332994734,"[-0.35, 1.04]"
"Singh et al. (2009)",32,7.4,"Native","HPP",0.0184052543376775,"[-0.67, 0.71]"
"Trainor et al. (1996)",10,6.1,"Native","HPP",1.22222222222222,"[0.40, 2.04]"
"Trainor et al. (1996)",10,6.1,"Native","HPP",0.666666666666667,"[-0.02, 1.35]"
"Trainor et al. (1996)",10,6.1,"Native","HPP",0.833333333333334,"[0.11, 1.55]"
"Trainor et al. (1996)",10,6.1,"Native","HPP",1.71428571428571,"[0.74, 2.69]"
"Trainor et al. (1996)",10,6.1,"Native","HPP",0.9,"[0.17, 1.63]"
"Trainor et al. (1996)",10,6.1,"Native","HPP",-1.33333333333333,"[-2.19, -0.48]"
"Werker & McLeod (1989)",12,5.1,"Native","Central fixation",3.15,"[1.77, 4.53]"
"Werker & McLeod (1989)",16,4.4,"Native","Central fixation",0.66,"[0.12, 1.20]"
"Werker & McLeod (1989)",16,4.4,"Native","Central fixation",0.54,"[0.02, 1.06]"
"Werker & McLeod (1989)",16,8.3,"Native","Central fixation",1.27,"[0.61, 1.93]"
"Werker & McLeod (1989)",16,8.3,"Native","Central fixation",1.17,"[0.53, 1.81]"
"Werker & McLeod (1989)",16,4.6,"Native","Central fixation",1.15,"[0.52, 1.78]"
"Werker et al. (1994)",10,4.3,"Non-Native","Central fixation",0.565685424949238,"[-0.10, 1.23]"
"Werker et al. (1994)",10,4.3,"Non-Native","Central fixation",0.708521853933533,"[0.02, 1.40]"
"Werker et al. (1994)",10,9.4,"Non-Native","Central fixation",0.642808629364394,"[-0.04, 1.32]"
"Werker et al. (1994)",10,9.4,"Non-Native","Central fixation",0.505041286850296,"[-0.15, 1.16]"
"Werker et al. (1994)",10,4.3,"Native","Central fixation",0.147242034766462,"[-0.48, 0.77]"
"Werker et al. (1994)",10,4.3,"Native","Central fixation",0.681171133091793,"[-0.01, 1.37]"
"Werker et al. (1994)",10,9.4,"Native","Central fixation",0.358856411095711,"[-0.28, 1.00]"
"Werker et al. (1994)",10,9.4,"Native","Central fixation",1.17004808041257,"[0.37, 1.97]"
