"","mod","level","source","k","est","lo","hi"
"1","test_lang","b.nonnative","Meta-analysis",4,NA,NA,NA
"2","test_lang","b.nonnative","Replications",56,0.273363899430888,0.174021999603772,0.372705799258005
"3","test_lang","a.native","Meta-analysis",48,0.50421526703951,0.228958906166055,0.779471627912966
"4","test_lang","a.native","Replications",46,0.417935504906523,0.311028509849787,0.524842499963258
"5","test_lang","c.artificial","Meta-analysis",3,NA,NA,NA
"6","test_lang","c.artificial","Replications",NA,NA,NA,NA
"7","method","a.cf","Meta-analysis",29,0.605972714606478,0.264660305593324,0.947285123619631
"8","method","a.cf","Replications",68,0.231320629708429,0.149824253585649,0.312817005831209
"9","method","b.hpp","Meta-analysis",20,0.347240454703312,-0.474067222614391,1.16854813202101
"10","method","b.hpp","Replications",34,0.514645752084495,0.408751841762799,0.620539662406191
"11","method","c.other","Meta-analysis",6,0.465424626395724,-0.0895799482789419,1.02042920107039
"12","method","c.other","Replications",NA,NA,NA,NA
"13","speech_type","b.naturalistic","Meta-analysis",18,0.488463529159456,0.0532735973145319,0.92365346100438
"14","speech_type","b.naturalistic","Replications",102,0.342538001151362,0.266871196548151,0.418204805754573
"15","speech_type","a.simulated","Meta-analysis",30,0.555601138201427,0.0085884025449493,1.1026138738579
"16","speech_type","a.simulated","Replications",NA,NA,NA,NA
"17","speech_type","c.filtered/synthesized","Meta-analysis",7,0.307127343256499,-0.593438376904243,1.20769306341724
"18","speech_type","c.filtered/synthesized","Replications",NA,NA,NA,NA
"19","own_mother","a.no","Meta-analysis",53,0.522547410533986,0.279511667735633,0.76558315333234
"20","own_mother","a.no","Replications",102,0.342538001151362,0.266871196548151,0.418204805754573
"21","own_mother","b.yes","Meta-analysis",2,NA,NA,NA
"22","own_mother","b.yes","Replications",NA,NA,NA,NA
"23","presentation","a.tape recording","Meta-analysis",40,0.403762949327961,0.199835663739615,0.607690234916306
"24","presentation","a.tape recording","Replications",102,0.342538001151362,0.266871196548151,0.418204805754573
"25","presentation","b.video recording","Meta-analysis",15,0.770232702799105,-0.264777327517686,1.8052427331159
"26","presentation","b.video recording","Replications",NA,NA,NA,NA
"27","dependent_measure","a.preference","Meta-analysis",48,0.4533677603234,0.24353579677289,0.663199723873909
"28","dependent_measure","a.preference","Replications",102,0.342538001151362,0.266871196548151,0.418204805754573
"29","dependent_measure","b.affect","Meta-analysis",7,0.817807466979675,-0.267234118396189,1.90284905235554
"30","dependent_measure","b.affect","Replications",NA,NA,NA,NA
"31","main_question_ids_preference","a.yes","Meta-analysis",41,0.552516496641103,0.297873094140355,0.80715989914185
"32","main_question_ids_preference","a.yes","Replications",102,0.342538001151362,0.266871196548151,0.418204805754573
"33","main_question_ids_preference","b.no","Meta-analysis",14,0.338979254612291,0.0467335496174502,0.631224959607132
"34","main_question_ids_preference","b.no","Replications",NA,NA,NA,NA
