"","x","y","r"
"1","study_type_MB","speech_type_b.naturalistic",0.770207984237409
"2","study_type_MA","speech_type_a.simulated",0.669328021227262
"3","test_lang_c.artificial","method_c.other",0.645865974597561
"4","test_lang_a.native","native_lang_english",0.64202853783403
"5","study_type_MB","mean_agec_mos",0.60488898097776
"6","presentation_b.video recording","dependent_measure_b.affect",0.558958963562919
"7","presentation_a.tape recording","dependent_measure_a.preference",0.558958963562919
"8","speech_type_b.naturalistic","mean_agec_mos",0.557477497826076
"9","speech_type_a.simulated","main_question_ids_preference_b.no",0.522632808127243
"10","speech_type_b.naturalistic","main_question_ids_preference_a.yes",0.511045009771226
"11","native_lang_cantonese","presentation_b.video recording",0.496970689046962
"12","study_type_MB","presentation_a.tape recording",0.466252404120158
"13","study_type_MA","presentation_b.video recording",0.466252404120157
"14","study_type_MB","test_lang_b.nonnative",0.454369467397652
"15","test_lang_b.nonnative","speech_type_b.naturalistic",0.437448739479212
"16","method_c.other","speech_type_c.filtered/synthesized",0.401174168297456
"17","test_lang_a.native","speech_type_a.simulated",0.395979797464466
"18","test_lang_b.nonnative","native_lang_german",0.395114044186827
"19","study_type_MA","test_lang_a.native",0.394405318873309
"20","study_type_MA","main_question_ids_preference_b.no",0.393610946830483
"21","native_lang_cantonese","dependent_measure_b.affect",0.356201888898955
"22","study_type_MA","native_lang_english",0.326734800245413
"23","study_type_MB","dependent_measure_a.preference",0.309661768642667
"24","study_type_MA","dependent_measure_b.affect",0.309661768642667
"25","study_type_MA","method_c.other",0.309661768642666
"26","study_type_MA","speech_type_c.filtered/synthesized",0.309661768642666
"27","native_lang_english","speech_type_a.simulated",0.300702541307226
"28","test_lang_b.nonnative","mean_agec_mos",0.295991250239445
"29","native_lang_dutch","method_b.hpp",0.289295084976649
"30","test_lang_b.nonnative","native_lang_french",0.251525955166557
"31","speech_type_a.simulated","presentation_b.video recording",0.241858744257704
"32","test_lang_a.native","main_question_ids_preference_b.no",0.232863376495052
"33","study_type_MA","native_lang_cantonese",0.231713778545397
"34","method_b.hpp","mean_agec_mos",0.231054005217271
"35","test_lang_b.nonnative","native_lang_dutch",0.228833705701029
"36","study_type_MB","native_lang_german",0.224409697273126
"37","test_lang_b.nonnative","main_question_ids_preference_a.yes",0.223555995341565
"38","native_lang_korean","method_b.hpp",0.222588082667186
"39","main_question_ids_preference_a.yes","mean_agec_mos",0.221496570713982
"40","method_b.hpp","presentation_a.tape recording",0.209468718420696
"41","test_lang_b.nonnative","native_lang_japanese",0.203987103158591
"42","study_type_MA","test_lang_c.artificial",0.2
"43","speech_type_b.naturalistic","presentation_a.tape recording",0.18673788864808
"44","method_a.cf","presentation_b.video recording",0.186500961648063
"45","native_lang_english","main_question_ids_preference_b.no",0.176833791869715
"46","test_lang_b.nonnative","native_lang_korean",0.176068168616589
"47","native_lang_german","speech_type_b.naturalistic",0.172842140580061
"48","own_mother_a.no","mean_agec_mos",0.163013558926326
"49","study_type_MA","own_mother_b.yes",0.162757691754232
"50","study_type_MB","own_mother_a.no",0.162757691754232
"51","method_a.cf","dependent_measure_b.affect",0.154830884321333
"52","presentation_a.tape recording","mean_agec_mos",0.146223463724812
"53","test_lang_b.nonnative","native_lang_spanish",0.143282243577156
"54","test_lang_b.nonnative","native_lang_hungarian",0.143282243577156
"55","study_type_MB","method_b.hpp",0.142946475107368
"56","study_type_MB","native_lang_french",0.142857142857143
"57","native_lang_german","mean_agec_mos",0.140902117599792
"58","native_lang_english","speech_type_c.filtered/synthesized",0.139118754666516
"59","native_lang_english","method_c.other",0.139118754666516
"60","method_b.hpp","dependent_measure_a.preference",0.139118754666516
"61","speech_type_a.simulated","dependent_measure_b.affect",0.139058095915693
"62","test_lang_a.native","native_lang_cantonese",0.137083720071804
"63","study_type_MB","native_lang_dutch",0.129968811227509
"64","native_lang_swissgerman","mean_agec_mos",0.129343216477746
"65","native_lang_german","method_a.cf",0.1282341127275
"66","native_lang_french","mean_agec_mos",0.126186158515745
"67","native_lang_turkish","mean_agec_mos",0.124653585903127
"68","native_lang_japanese","method_a.cf",0.115856889272699
"69","study_type_MB","native_lang_japanese",0.115856889272699
"70","native_lang_cantonese","method_a.cf",0.115856889272698
"71","test_lang_b.nonnative","method_a.cf",0.113592366849413
"72","native_lang_french","speech_type_b.naturalistic",0.110029712033916
"73","native_lang_german","presentation_a.tape recording",0.104631560861471
"74","speech_type_b.naturalistic","dependent_measure_a.preference",0.104162956851092
"75","test_lang_b.nonnative","native_lang_norwegian",0.100982020286052
"76","test_lang_b.nonnative","native_lang_italian",0.100982020286052
"77","test_lang_b.nonnative","native_lang_turkish",0.100982020286052
"78","native_lang_dutch","speech_type_b.naturalistic",0.100103016109272
"79","study_type_MB","native_lang_korean",0.0999999999999998
"80","test_lang_a.native","presentation_b.video recording",0.0972002834361557
"81","test_lang_a.native","own_mother_b.yes",0.0962887489731167
"82","dependent_measure_a.preference","mean_agec_mos",0.0960345817921135
"83","native_lang_french","method_b.hpp",0.0948114375712136
"84","test_lang_b.nonnative","own_mother_a.no",0.0924401571465518
"85","native_lang_korean","mean_agec_mos",0.0911914568186465
"86","test_lang_c.artificial","native_lang_english",0.0898520700674884
"87","native_lang_cantonese","speech_type_b.naturalistic",0.0892339011467416
"88","native_lang_japanese","speech_type_b.naturalistic",0.0892339011467415
"89","native_lang_german","main_question_ids_preference_a.yes",0.088330113421617
"90","test_lang_b.nonnative","presentation_a.tape recording",0.0847403426131801
"91","native_lang_dutch","mean_agec_mos",0.0819301867854921
"92","native_lang_hungarian","method_a.cf",0.0813788458771163
"93","native_lang_spanish","method_a.cf",0.0813788458771162
"94","method_a.cf","own_mother_b.yes",0.081378845877116
"95","study_type_MB","native_lang_spanish",0.0813788458771159
"96","study_type_MB","native_lang_hungarian",0.0813788458771158
"97","native_lang_spanish","mean_agec_mos",0.0784214915027103
"98","presentation_a.tape recording","main_question_ids_preference_a.yes",0.0784139669240274
"99","native_lang_korean","speech_type_b.naturalistic",0.0770207984237408
"100","native_lang_english","own_mother_b.yes",0.0731205776176195
"101","method_b.hpp","own_mother_a.no",0.0731205776176193
"102","speech_type_c.filtered/synthesized","presentation_a.tape recording",0.0721902720468716
"103","method_a.cf","main_question_ids_preference_a.yes",0.0715656266964514
"104","method_b.hpp","speech_type_b.naturalistic",0.0710023085653618
"105","native_lang_german","dependent_measure_a.preference",0.0694911037581613
"106","native_lang_french","presentation_a.tape recording",0.0666074863028798
"107","speech_type_b.naturalistic","own_mother_b.yes",0.06267863684258
"108","native_lang_hungarian","speech_type_b.naturalistic",0.0626786368425799
"109","native_lang_spanish","speech_type_b.naturalistic",0.0626786368425799
"110","test_lang_a.native","method_b.hpp",0.0621317939839386
"111","dependent_measure_b.affect","main_question_ids_preference_a.yes",0.0609431309763208
"112","dependent_measure_a.preference","main_question_ids_preference_b.no",0.0609431309763208
"113","native_lang_dutch","presentation_a.tape recording",0.0605982706954648
"114","method_c.other","main_question_ids_preference_b.no",0.0601516617428621
"115","speech_type_c.filtered/synthesized","main_question_ids_preference_b.no",0.0601516617428621
"116","native_lang_norwegian","method_a.cf",0.0573539334676408
"117","native_lang_turkish","method_a.cf",0.0573539334676408
"118","native_lang_italian","method_a.cf",0.0573539334676406
