name,value,section
m ests MA,51,1
m ests MB,114,1
m ests total,165,1
k studies MA,16,1
k studies MB,65,1
median n MA,20,1
median n MB,17,1
MA subset naive tau,0.49,2
MA subset naive k,51,2
MA subset naive n subj,1062,2
MA subset naive est X.Intercept.,0.7,2
MA subset naive lo X.Intercept.,0.4,2
MA subset naive hi X.Intercept.,1,2
MA subset naive pval X.Intercept.,0.00029996,2
Reps subset naive tau,0.14,2
Reps subset naive k,114,2
Reps subset naive n subj,2354,2
Reps subset naive est X.Intercept.,0.35,2
Reps subset naive lo X.Intercept.,0.27,2
Reps subset naive hi X.Intercept.,0.43,2
Reps subset naive pval X.Intercept.,< 0.0001,2
NAIVE tau,0.29,2
NAIVE k,165,2
NAIVE n subj,3416,2
NAIVE est X.Intercept.,0.35,2
NAIVE est isMetaTRUE,0.34,2
NAIVE lo X.Intercept.,0.27,2
NAIVE lo isMetaTRUE,0.06,2
NAIVE hi X.Intercept.,0.42,2
NAIVE hi isMetaTRUE,0.62,2
NAIVE pval X.Intercept.,< 0.0001,2
NAIVE pval isMetaTRUE,0.021097,2
NAIVE avg for meta,0.68,2
NAIVE avg lo for meta,0.4,2
NAIVE avg hi for meta,0.97,2
NAIVE avg pval for meta,2e-04,2
MOD1 tau,0.24,1
MOD1 k,165,1
MOD1 n subj,3416,1
MOD1 est X.Intercept.,0.12,1
MOD1 est isMetaTRUE,0.5,1
MOD1 est mean_agec_mos,0.05,1
MOD1 est test_langb.nonnative,-0.12,1
MOD1 est test_langc.artificial,-0.42,1
MOD1 est methodb.hpp,0.14,1
MOD1 est methodc.other,0.57,1
MOD1 est speech_typeb.naturalistic,0.16,1
MOD1 est speech_typec.filtered.synthesized,-0.15,1
MOD1 est own_motherb.yes,-0.83,1
MOD1 est presentationb.video.recording,0.04,1
MOD1 est dependent_measureb.affect,0.11,1
MOD1 est main_question_ids_preferenceb.no,-0.3,1
MOD1 lo X.Intercept.,-0.06,1
MOD1 lo isMetaTRUE,0.08,1
MOD1 lo mean_agec_mos,0.03,1
MOD1 lo test_langb.nonnative,-0.23,1
MOD1 lo test_langc.artificial,-2.46,1
MOD1 lo methodb.hpp,-0.11,1
MOD1 lo methodc.other,-1.25,1
MOD1 lo speech_typeb.naturalistic,-0.85,1
MOD1 lo speech_typec.filtered.synthesized,-0.57,1
MOD1 lo own_motherb.yes,-2.25,1
MOD1 lo presentationb.video.recording,-1.12,1
MOD1 lo dependent_measureb.affect,-0.81,1
MOD1 lo main_question_ids_preferenceb.no,-1.08,1
