model,stat,est,lo,hi,unique
naive,AvgM,0.68,0.35,1,naive_AvgM
naive,AvgR,0.35,0.28,1,naive_AvgR
naive,AvgDiff,0.32,0,0.64,naive_AvgDiff
naive,Perc0M,90,85,97,naive_Perc0M
naive,Perc0R,100,95,100,naive_Perc0R
naive,Perc0Diff,-10,-15,-3,naive_Perc0Diff
naive,Perc0.2M,86,79,93,naive_Perc0.2M
naive,Perc0.2R,90,78,100,naive_Perc0.2R
naive,Perc0.2Diff,-4,-18,12,naive_Perc0.2Diff
mod,AvgM,0.61,0.26,0.96,mod_AvgM
mod,AvgR,0.13,-0.08,0.96,mod_AvgR
mod,AvgDiff,0.48,-0.02,0.97,mod_AvgDiff
mod,Perc0M,98,89,100,mod_Perc0M
mod,Perc0R,100,,,mod_Perc0R
mod,Perc0Diff,-2,-11,0,mod_Perc0Diff
mod,Perc0.2M,88,79,91,mod_Perc0.2M
mod,Perc0.2R,0,,,mod_Perc0.2R
mod,Perc0.2Diff,88,-17,92,mod_Perc0.2Diff
modelDiff,AvgM,0.06,0.05,0.13,modelDiff_AvgM
modelDiff,AvgR,0.22,0.16,0.39,modelDiff_AvgR
modelDiff,AvgDiff,-0.15,-0.26,-0.08,modelDiff_AvgDiff
modelDiff,Perc0M,-8,-14,0,modelDiff_Perc0M
modelDiff,Perc0R,0,-5,0,modelDiff_Perc0R
modelDiff,Perc0Diff,-8,-14,1,modelDiff_Perc0Diff
modelDiff,Perc0.2M,-2,-5,4,modelDiff_Perc0.2M
modelDiff,Perc0.2R,90,0,100,modelDiff_Perc0.2R
modelDiff,Perc0.2Diff,-92,-106,4,modelDiff_Perc0.2Diff
