model,stat,est,lo,hi
naive,AvgDiff,0.323574434863321,0.266710925419289,0.45563618234148
naive,Phat0R,1,0.95260663507109,1
naive,Phat0M,0.901960784313725,0.852974565203642,0.963265306122449
naive,Phat0.2R,0.903846153846154,0.765376510797564,1
naive,Phat0.2M,0.862745098039216,0.791959938199883,0.933601630675957
naive,Phat0Diff,-0.0980392156862745,-0.149038164516086,-0.0282513490430986
naive,Phat0.2Diff,-0.0411010558069381,-0.179322338495268,0.148569417023513
mod,AvgDiff,0.476241995816822,0.396354037063972,0.672137426856475
mod,Phat0R,1,,
mod,Phat0M,0.980392156862745,0.864864864864865,1
mod,Phat0.2R,0,,
mod,Phat0.2M,0.882352941176471,0.763005780346821,0.912639021023361
mod,Phat0Diff,-0.0196078431372549,-0.135135135135135,0
mod,Phat0.2Diff,0.882352941176471,-0.126530612244898,0.917431061655355
modelDiff,AvgDiff,-0.1526675609535,-0.255817426328639,-0.0880007886857603
modelDiff,Phat0R,0,-0.0301507537688442,0
modelDiff,Phat0M,-0.0784313725490196,-0.133333333333333,0.0216216216216216
modelDiff,Phat0.2R,0.903846153846154,0.718716500323866,1
modelDiff,Phat0.2M,-0.0196078431372548,-0.0505324689261452,0.0299401197604791
modelDiff,Phat0Diff,-0.0784313725490196,-0.136168450804356,0.0216216216216216
modelDiff,Phat0.2Diff,-0.923453996983409,-1.05580506555724,0.0702936096718481
