"Moderator","EstCI","Pval"
"X.Intercept.","0.33 [-2.11, 2.77]","0.70"
"isMetaTRUE","-0.08 [-1.25, 1.09]","0.83"
"mean_agec","0 [-0.00, 0.00]","0.09"
"test_langnonnative","-0.05 [-0.24, 0.13]","0.56"
"methodcht","-0.04 [-1.70, 1.63]","0.95"
"methodeyetracking","0 [-1.12, 1.13]","0.99"
"methodfc","-0.52 [-0.84, -0.20]","2e-03"
"methodhpp","0.02 [-1.18, 1.21]","0.97"
"methodsinglescreen","-0.08 [-1.22, 1.05]","0.86"
"speech_typenaturalistic","0.32 [-1.02, 1.66]","0.53"
"speech_typesimulated","0.29 [-0.47, 1.06]","0.37"
"speech_typesynthesized","0.42 [-0.88, 1.72]","0.42"
"speakerunfamiliar.female","-0.41 [-1.69, 0.86]","0.42"
"speakerunfamiliar.females","0.37 [-1.94, 2.69]","0.69"
"speakerunfamiliar.male","-0.59 [-3.46, 2.28]","0.54"
"speakerunfamiliar.mother","-0.3 [-1.93, 1.33]","0.61"
"speakerunfamiliar.mother..unfamiliar.female","-0.58 [-1.87, 0.71]","0.24"
"presentationvideo.recording","0.06 [-1.52, 1.64]","0.91"
"main_question_ids_preferenceyes","0.22 [-0.99, 1.42]","0.60"
